,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,157.322,22.317,9.689,3.449,2718.36,10.761,4.16,1331.421,43.12,187.919,37.425,44.082,55.121,26.828,11839.188,253.848,47.74,741.664,31.853,49.364,1603.897,47.195,464.189,27.993,0.17456806,0.26081592,0.04553013
Pareto solution 1,-175.66081774089253,-378.16826317925006,-397.11028311459813,-406.470329397358,3665.896338272607,-395.5023404158419,-405.403770058183,1585.4876849768334,-346.9638674983871,-129.76535620639334,-355.50636519677937,-345.52091308450326,-328.96237319731154,-371.401824204484,17347.138065909967,-30.871833197888918,-340.0338619387476,700.8521787442369,-363.86432623531437,-337.5977789906319,1994.2016259956872,-340.85133943811525,284.63964990805835,-369.65427056583576,0.17456806,0.26081592,0.04553013
Pareto solution 2,-9.169405002176063,-177.92561249601567,-193.71062318505574,-201.5106647158973,3192.1282309328235,-192.3706709360922,-200.6218711903348,1458.4543472625955,-151.9219464667549,29.07681294323993,-159.04069158687344,-150.71948149331,-136.92070121585857,-172.2869103885023,14593.162998040207,111.48808359793111,-146.14693887184694,721.2580920687651,-166.00566208086093,-144.11687567216723,1799.0493010735154,-146.828173083195,374.41431803861633,-170.83061865150376,0.17456804,0.26081595,0.04553013
