,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,106.322,6.15,481.606,468.994,1.905,111.289,41.912,1.405,0.17349195,0.2551236,0.04426189
Pareto solution 1,83.25905325704298,-66.99894714719267,646.1850174407009,627.2669958820916,-73.36645104773925,90.70955502699508,-13.355935111452709,-74.11644853225152,0.17349194,0.25512362,0.04426189
Pareto solution 2,94.79052625342774,-30.42447455747879,563.895496406476,548.1304803371422,-35.73072638580379,100.99927772838782,14.27803547230451,-36.355725711694504,0.17349194,0.25512362,0.04426189
