,Node_0,Node_1,Node_2,Node_3,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,8.457,12.119,0.214,15.22,0.14184521,0.24272612,0.03442954
Pareto solution 1,8.593374977083478,11.339875453675056,2.411124895867246,13.665625555588065,0.14184518,0.24272609,0.034429528
Pareto solution 2,8.729750162741524,10.560750452602207,4.608250052863298,12.111250548411249,0.14184518,0.24272609,0.034429528
