,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,12.993,0.107,0.488,0.267,0.039,1.298,0.025,0.913,1.576,0.002,5.172,0.002,0.007,0.127,0.155,0.548,0.197,0.104,0.521,0.104,0.154,0.114,0.194,0.028,0.016,0.013,51.424,0.131,0.813,0.599,0.227,1.015,0.636,0.147,0.044,0.296,0.115,0.248,0.147,0.004,0.164,0.16789423,0.24992073,0.041960247
Pareto solution 1,10.239713660285247,0.5752134734613037,0.8609634504899333,0.6952133910562281,0.5242134157284966,1.468463400940621,0.5137133727909315,1.1797134116441157,1.676963401418881,0.4964634078254022,4.373963442923468,0.4964634078254022,0.5002134231602469,0.5902134292259262,0.6112134698547322,0.9059633781122329,0.6427134930926712,0.5729633586856409,0.8857134461251519,0.5729633586856409,0.6104634667877633,0.5804633893553302,0.6404634838917644,0.5159633819918383,0.5069634507629672,0.5047134415620604,39.06296243864335,0.593213441493802,1.104713466917815,0.9442134289528923,0.6652134795269831,1.2562134152917324,0.9719634670202026,0.6052134453189808,0.5279634310633412,0.7169634347520031,0.5812133924222991,0.6809634383585745,0.6052134453189808,0.4979634139593401,0.6179634974574526,0.16789424,0.24992074,0.041960254
