,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,16.096,12.472,31.626,385.185,311.386,49.451,6916.555,11.595,10.515,17.728,19.539,6940.537,11.781,1161.525,52.222,1184.635,14.163,7427.534,7448.301,7438.399,729.547,1565.057,9.851,383.2,1614.086,11.346,32.651,7486.664,67.168,100.317,16.303,7511.914,785.584,8063.094,14.969,539.215,139.331,95.9,24.413,353.811,27.089,15.862,0.18709725,0.2690403,0.0503367
Pareto solution 1,-797.8633540121082,-803.2993570265826,-774.5683410011115,-244.22966228521545,-354.92845800775103,-747.8307227017358,9552.825856812065,-804.6149186303956,-806.23484921403,-795.4152566694247,-792.6990247492795,9588.798697346356,-804.3358294661739,920.2801558880019,-743.6743839529227,954.9451872952632,-800.7629488614039,10319.293686715653,10350.44381256192,10335.591415300732,272.31314692946034,1525.5781856896683,-807.2308739486616,-247.20745603076648,1599.1217617692855,-804.9883857728564,-773.0306540842284,10407.98876240803,-721.2554008185107,-671.5318573868717,-797.5529178765428,10445.863993332256,356.3687023308594,11272.63395830337,-799.553899547318,-13.184787610953208,-613.0107695944025,-678.1573599913681,-785.3877650136128,-291.29073553788476,-781.3738358926785,-798.2142378526332,0.18709728,0.26904035,0.05033672
Pareto solution 2,-390.8836869371735,-395.4136824270645,-371.4711690725053,70.47771932415162,-21.771266578038194,-349.18983453403416,8234.690641371963,-396.5099837635753,-397.85992591660397,-388.8436058182706,-386.5800721959786,8264.66799443953,-396.27740946005724,1040.9025748240038,-345.7262048656812,1069.7900992411787,-393.3000159782532,8873.413875091312,8899.37228520785,8886.995287490194,500.93006384746695,1545.3175959281975,-398.689946528797,67.99623155836343,1606.603909766764,-396.8212204266347,-370.18977735277804,8947.326410079608,-327.0437259425089,-285.6074327273054,-390.62499015753565,8978.889102516463,570.976356504214,9667.864101414409,-392.29246786101066,263.0151254192933,-236.83986658908543,-291.1286919198901,-380.4873627717607,31.260161791346036,-377.1424218376487,-391.176090137611,0.18709725,0.26904038,0.050336715
Pareto solution 3,16.095980137761217,12.47199217245361,31.626002856100968,385.1851009335187,311.38592485167464,49.45105363366747,6916.55542593186,11.594951103244966,10.514997380822024,17.72804503288353,19.53888035732234,6940.5372915327025,11.781010546059406,1161.5249937600056,52.22197422156023,1184.6350111870943,14.162916904897429,7427.53406346697,7448.30075785378,7438.399159679655,729.5469807654736,1565.0570061667265,9.850980891067593,383.19991914749335,1614.0860577642427,11.345944919587055,32.65109937867237,7486.664057751186,67.16794893349288,100.31699193226086,16.30293756147148,7511.91421170067,785.5840106775686,8063.094244525448,14.968963825296669,539.2150384495399,139.33103641623165,95.89997615158791,24.413039470091462,353.81105912057683,27.08899221738102,15.862057577411178,0.18709725,0.26904038,0.050336715
