,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,Node_130,Node_131,Node_132,Node_133,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.185,0.004,0.028,0.509,14.542,11.606,6.17,10.039,777.68,0.0,11.972,0.0,8.524,0.0,0.96,1.101,2.814,0.0,0.07,0.32,0.675,770.528,550.514,10.682,0.0,0.439,3.392,0.0,0.027,4.256,0.396,2.138,0.01,0.752,2.824,4.795,0.762,11.392,3.949,1.065,5.444,4.542,0.332,3.68,0.007,0.332,9.969,10.82,109.498,117.249,0.009,0.194,0.0,1.982,101.941,0.0,8.833,652.432,0.015,0.103,0.0,0.008,3.755,0.074,0.389,0.103,0.0,8.401,1.758,0.182,81.741,0.079,0.42,0.023,0.117,0.014,0.014,1.098,1.993,3.74,0.079,0.127,26.679,69.362,92.603,79.152,0.006,0.124,53.516,3.542,4.177,85.18,38.311,4.817,0.2,1.418,1.083,1.312,2.837,26.316,0.088,0.847,0.0,0.809,0.026,0.087,0.054,3.439,0.183,0.495,0.364,0.259,1.772,1.339,5.36,0.156,0.803,2.613,0.11,0.218,0.489,1.605,0.169,0.189,2.515,0.694,0.653,1.557,2.034,0.45,0.264,1.38,0.521,2.226,0.17044899,0.31560075,0.05379383
Pareto solution 1,7.3608001639004215,7.225050622837529,7.2430513190074635,7.603802368025583,18.128551358211965,15.926552043839507,11.849550972873516,14.751301313494537,590.482079879579,7.22205054370238,16.20105076238235,7.22205054370238,13.61505050511127,7.22205054370238,7.9420504992601195,8.047801241202933,9.332549879402308,7.22205054370238,7.274551375169864,7.46205111917908,7.728300450196684,585.1180720867969,420.10754107997855,15.233551472343834,7.22205054370238,7.551299987044786,9.766051906671834,7.22205054370238,7.242300690486303,10.414051512499327,7.519050851874539,8.825550893900157,7.229551959014998,7.786050811413304,9.34005063063779,10.818301384707127,7.793550013135473,15.766051019815222,10.183801138872099,8.020800971704688,11.305051772938668,10.628551526006788,7.471051356584525,9.982050742272122,7.227300958887696,7.471051356584525,14.698800924745143,15.337050328723166,89.34555315483613,95.15879761851534,7.228801330493837,7.367550950691879,7.22205054370238,8.708551128015046,83.67780444960647,7.22205054370238,13.84680125034464,496.54607059588307,7.233301117157993,7.299301308617942,7.22205054370238,7.2280515874088564,10.0383007318826,7.277549904791698,7.513800436689223,7.299301308617942,7.22205054370238,13.522800008597102,8.540550238191457,7.358550713286434,68.52779750805303,7.281302161961321,7.537051548044474,7.239302160864469,7.309802138988573,7.232550488636832,7.232550488636832,8.045550905152766,8.716800072822195,10.027050822504123,7.281302161961321,7.3173020047878765,27.231301769860057,59.243549807266106,76.67429646380003,66.58604969069785,7.22655187987985,7.315051668737709,47.3590509752583,9.87855188589279,10.3548014437537,71.10704874940501,35.95530148777556,10.834800159757606,7.372052286869348,8.285549931116151,8.034301881210467,8.206051265099916,9.349801496564396,26.95905120144681,7.288050735162329,7.857301418058569,7.22205054370238,7.828800776954182,7.2415500619651425,7.287301656154483,7.262551722706405,9.801301120977229,7.359302005884729,7.593301537654952,7.4950515469476215,7.416301074503053,8.551051068562089,8.226301411883838,11.242052546050047,7.339051859100806,7.824300990290027,9.181802156254122,7.304551723803257,7.385551646861813,7.588801750990797,8.425800808356513,7.348801175514097,7.36380024303557,9.108300549481555,7.742551102787445,7.7118010110690705,8.389800965529957,8.74755104997675,7.559552030878564,7.420050232646048,8.257050839525078,7.612801941353894,8.891551085360106,0.17044896,0.3156007,0.05379381
Pareto solution 2,14.536601634128601,14.44610208765937,14.458102404199963,14.698602808399983,21.71510235654995,20.24710273984863,17.529102321016694,19.463602400524678,403.2841119999284,14.444101887329907,20.430102033116555,14.444101887329907,18.706102009175197,14.444101887329907,14.924102152847126,14.994602352330276,15.851101592035889,14.444101887329907,14.479102294068866,14.604101975835647,14.781601824992777,399.70811152706665,289.7010955781807,19.78510250642421,14.444101887329907,14.663601516224844,16.140102648403513,14.444101887329907,14.457602132758552,16.57210253319454,14.64210224035071,15.513102268367788,14.449102830871652,14.82010236094925,15.856101650141454,16.84160274314513,14.825101533618636,20.14010220473847,16.418602431682416,14.976602320237475,17.166102706820766,16.71510224705412,14.610102576824033,16.284102019709735,14.447602016547421,14.610102576824033,19.42860199378572,19.854101891583127,69.19310362808574,73.06860111778678,14.448602559430242,14.541102306228936,14.444101887329907,15.43510242444438,65.41460390097518,14.444101887329907,18.86060265357014,340.66011525545036,14.451602417206345,14.495602397273615,14.444101887329907,14.448102287988831,16.321602012783387,14.481101608962149,14.638602111133196,14.495602397273615,14.444101887329907,18.64460138302036,15.323101831228655,14.53510170524055,55.31459986356367,14.483602966169201,14.654102556891303,14.45560281786527,14.502602655708642,14.451102145764935,14.451102145764935,14.993102423442224,15.440601868555177,16.31410236834313,14.483602966169201,14.507602713814208,27.78360268632177,49.125101691517784,60.745599757685795,54.020101023514826,14.44710263054219,14.506102784926156,41.20210187988846,16.215102634550817,16.532602339791424,57.03410098627705,33.599602516712025,16.852601631366724,14.544103049441219,15.153101626511784,14.985602779001965,15.100102073116204,15.862602522571251,27.602102325826195,14.488101867397177,14.867602470234033,14.444101887329907,14.848601895258412,14.457101861317142,14.487602481391946,14.471102378187197,16.16360212460711,14.53560286211814,14.691602549964955,14.626102408587371,14.573602241197023,15.330102089663683,15.11360231854485,17.12410292708296,14.522102616689494,14.845602037482308,15.750602814791705,14.499102526491129,14.55310262276953,14.688602692188852,15.246601916193299,14.528602603683112,14.538601834458063,15.70160189118269,14.791102555198677,14.770602051335004,15.222602168548292,15.46110237241885,14.669102731208,14.576101827531716,15.134101936972343,14.70460252395219,15.557102248435058,0.17044893,0.31560072,0.053793807
