,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,4.189,4.411,2.327,14.65,1.558,1.689,16.506,16.826,17.752,0.768,6.947,1.133,2.295,1.704,1.354,5.559,7.64,0.0,0.14657027,0.25013557,0.036662437
Pareto solution 1,4.6321389271133615,4.798638678152997,3.2356389267876864,12.477888728612754,2.6588887464551405,2.757139036829667,13.869889331279197,14.109889112797369,14.804389696531764,2.066388860104862,6.700638894456432,2.3401386540282623,3.2116389931563702,2.76838905580491,2.5058891027747485,5.659638862670338,7.220388831730093,1.4903889392562384,0.14657018,0.25013557,0.036662415
Pareto solution 2,5.075277763554418,5.186277612421009,4.144277778177468,10.305777646060847,3.759777717316439,3.8252778812191224,11.233777929117139,11.393777842823255,11.856778231979519,3.3647777634025857,6.4542777566232985,3.547277626018186,4.128277822423257,3.8327778048282823,3.657777865821842,5.7602777391426105,6.800777699965572,2.980777756809502,0.14657019,0.25013554,0.036662415
