,Node_0,Node_1,Node_2,Node_3,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,2.888,5.712,30.638,12.451,0.14988719,0.24558622,0.036810227
Pareto solution 1,0.3794369701620255,3.9094378911595555,35.06693828897504,12.333187796335658,0.1498872,0.24558622,0.03681023
Pareto solution 2,7.905124761047176,9.317124839710516,21.78012538515094,12.686624994938072,0.1498872,0.24558622,0.03681023
Pareto solution 3,2.8879995671237424,5.712000207343209,30.638000654367005,12.451000195869796,0.1498872,0.24558622,0.03681023
