,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.204,0.131,1.532,17.695,3.055,2.392,0.847,1.473,1.021,9.6,11.053,1.18,0.0,1.195,7.104,0.047,0.081,0.0,0.785,9.925,0.716,0.965,0.018,0.0,0.0,2.701,0.046,8.741,0.229,0.0,0.119,2.136,1.032,6.568,0.124,0.331,1.72,1.887,0.495,1.239,2.636,1.256,0.422,0.014,0.029,0.367,1.202,0.011,0.154,0.093,0.0,0.03,0.092,0.158,0.09,0.073,0.183,0.173,0.002,0.0,0.504,0.05,0.044,0.001,0.025,0.0,0.001,0.17996867,0.29861066,0.053740565
Pareto solution 1,0.20399996764871275,0.13100001471295997,1.5319999431735258,17.694999063497107,3.055000002743487,2.3919999459667913,0.8469999855320172,1.4730000496630105,1.0210000341057484,9.60000030086212,11.052999729381384,1.1799999670468395,6.943771424516854e-08,1.1950000469018534,7.103999969258851,0.04699999208604666,0.08099987573891809,6.943771424516854e-08,0.7850000545839233,9.924999868495348,0.7160000044791452,0.9649999395153035,0.017999960138673998,6.943771424516854e-08,6.943771424516854e-08,2.7009999499796216,0.04599998358214563,8.740999913018868,0.2289999178769797,6.943771424516854e-08,0.11899996036964922,2.135999927551575,1.0319999487605287,6.567999799890046,0.12399993133390197,0.33099992661185595,1.7200000273207436,1.8869999805895414,0.49499998555358005,1.2389999738531712,2.6359999219645722,1.2560000409012986,0.4219998895073225,0.01400009308532546,0.02900000597808372,0.3670000180865358,1.2020000229480328,0.010999996018369984,0.15399997178517566,0.09300002548923203,6.943771424516854e-08,0.029999990630233953,0.09199992157832781,0.15799993424552738,0.09000004768103054,0.07299992696646385,0.18299988447379434,0.17299994254528883,0.0019999433350115225,6.943771424516854e-08,0.5039999189781845,0.04999996989424815,0.04400001427784517,0.0009999586828612905,0.0250000196659812,6.943771424516854e-08,0.0009999586828612905,0.17996871,0.29861063,0.053740572
