,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,4.028,2.857,34.959,24.36,3.21,12770.952,0.15485062,0.25681728,0.039768316
Pareto solution 1,538.0363470244538,537.1579813955123,561.2345050545991,553.285326221594,537.4227981653621,10113.22895198682,0.15485062,0.25681728,0.039768316
