,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,1729.844,367.056,3.892,6.043,6.651,191.955,94.356,117.114,311.169,10.228,13403.136,2.203,0.17010386,0.2391188,0.040675033
Pareto solution 1,1541.7405974422018,860.346605669336,678.764613089159,679.8400960442159,680.1441104313999,772.7960829612566,723.996562298933,735.3756281760143,832.4030940758967,681.932616539023,7378.386198897322,677.9201286803145,0.17010382,0.23911881,0.04067502
Pareto solution 2,1917.947391906826,-126.2345424836094,-670.9805202241405,-667.7540713589697,-666.8420827683003,-388.88616517873015,-535.2847817365837,-501.1476386762224,-210.06513183481002,-661.4764553036657,19427.883746062405,-673.5139188797912,0.17010383,0.2391188,0.040675025
