,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,51.329,1986.208,19.526,1691.19,4760.711,952.537,869.557,1935.59,77.878,57.535,21.2,60.694,20.266,50.684,2058.425,33.157,691.343,616.772,39.508,77.557,2275.272,2106.566,4787.706,2242.277,49.262,54.769,18.81,20.417,406.148,61.183,2312.92,36.226,50.281,38.389,15.6,37.141,15.743,5.093,31.91,3.259,86.946,0.818,0.332,1887.143,2.317,9.237,284.391,2051.296,3.508,0.756,294.547,18.688,9.479,0.751,0.58,0.863,3.189,4.047,49.577,325.989,1.18,2248.226,6.951,2188.162,2113.821,2099.055,3.21,2.431,0.1889174,0.33273783,0.06285997
Pareto solution 1,-249.02213068446144,2653.2962319022045,-296.72664999001427,2210.7692788221175,6815.0508974608965,1102.7898639132036,978.319878327311,2577.369293552474,-209.19865528238006,-239.71318941679783,-294.2156188201625,-234.9746903887717,-295.6166557146935,-249.98962789191864,2761.621839510044,-276.2801092816517,710.998903232412,599.142334862554,-266.7535526835127,-209.68006253766362,3086.8923714885022,2833.833187952405,6855.543738368433,3037.399907457875,-252.1225963253528,-243.86212389887078,-297.8006135142641,-295.3901302526356,283.2063689097413,-234.24113291344838,3143.3643952338025,-271.67656297649955,-250.59408601548057,-268.4321694436949,-302.615596591495,-270.30414256296353,-302.40123313385993,-318.3761234994745,-278.1507166143274,-321.1272079224,-195.59672156581655,-324.7885565907927,-325.5176264815964,2504.698650590144,-322.5400816340698,-312.16010352771264,100.57084924075752,2750.928120712051,-320.753632770502,-324.88169022894,115.8048328984296,-297.9836289177183,-311.79712948127417,-324.88916953647276,-325.1456122286618,-324.72117778554093,-321.23204830277245,-319.9450871074805,-251.65016423910856,162.96791537606623,-324.24562390137,3046.3233066815883,-315.5891384003917,2956.2276982166804,2844.716035674792,2822.5668793846853,-321.200570173678,-322.36909816012485,0.18891737,0.33273783,0.06285995
Pareto solution 2,-98.84656994694524,2319.752073671625,-138.6003333250119,1950.9796046418705,5787.880945377838,1027.663426906056,923.9384409502327,2256.4796196270618,-65.66033773531672,-91.08911347077083,-136.50781006002944,-87.14036428074905,-137.6753380955779,-99.6528149099322,2410.023413344825,-121.56155211127043,701.17096102701,607.9571540521283,-113.6227549461546,-66.06151315794705,2681.082184573752,2470.199531627004,5821.624979467451,2639.8384699680173,-101.43028860446066,-94.54656158239231,-139.49530563844746,-137.4865668771963,344.6771837797314,-86.52906909454032,2728.142198941714,-117.72526081374963,-100.15653001290048,-115.02159682651836,-143.50779153613985,-116.58157713580295,-143.3291499016559,-156.64156124956207,-123.1203861353788,-158.93413160199998,-54.32539026161976,-161.9852582022213,-162.59281373466365,2195.920755911575,-160.11152907161886,-151.46154731632123,192.48091738891162,2401.111981013164,-158.62282168531237,-162.06286414755596,205.175903770305,-139.6478184746593,-151.15906623439514,-162.0690996137273,-162.28280456711218,-161.92910648795078,-159.02150129553775,-157.94903363279445,-101.0365924893631,244.47846979177484,-161.53280887458095,2647.2746414075664,-154.31907366699306,2572.1949460076576,2479.2685659758718,2460.8109357341164,-158.99526681139832,-159.96904013343737,0.1889174,0.33273774,0.06285995
