,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,2.634,3197.332,7.127,5.621,123.978,17.667,4.198,334.144,25.26,3.336,7.06,5.192,11.247,5.882,10.009,5.618,0.16405246,0.24992593,0.041000962
Pareto solution 1,-113.74605432525277,4678.301148205996,-107.00655258839834,-109.26550728129223,68.26995755979442,-91.19652865326498,-111.40006600541528,383.51898016006453,-79.80706572002964,-112.69303224945907,-107.10706416441826,-109.90901058464078,-100.8265232683043,-108.87405079434393,-102.683546265529,-109.27004577434855,0.16405244,0.24992591,0.041000955
Pareto solution 2,119.01403470274818,1716.3630372683983,121.2605314614193,120.50754274350766,179.6860367542904,126.53053561951674,119.79603080936067,284.76904428771377,130.32703090448922,119.36503442078538,121.22703142302635,120.29304164239147,123.32053741450363,120.63803587971779,122.70153738932277,120.50602991248888,0.16405244,0.24992591,0.041000955
