,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,197.438,256.394,3.409,52.005,79.019,7.859,2.655,44.268,45.871,2.384,64.077,8.751,32.013,4.652,25.189,35.03,2.801,21.741,5.855,31.187,32.797,32.797,3.676,2.548,0.13,0.142,2.16,3.542,8.831,2.9,23.461,16.931,6.986,0.577,4.221,0.0,2.083,0.0,0.0,3.446,724.76,0.069,700.875,0.116,697.845,140.977,0.257,0.544,5.844,673.441,0.17650941,0.31263855,0.055183645
Pareto solution 1,138.86454448633594,168.34255457373183,41.85004138194836,66.14804248851351,79.65504073033892,44.075041380000584,41.47304072316183,62.27954306056199,63.08104066819078,41.33754252098606,72.18404377584443,44.52104233855516,56.15204171227015,42.47154230745673,52.740041207952345,57.6605411675896,41.54604373276834,51.01604142832366,43.073043757998676,55.73904199854405,56.54404268099279,56.54404268099279,41.983543858895246,41.419541775770995,40.21054043961976,40.21654168953228,41.225542646328904,41.91654209920125,44.56104410333319,41.59554278516589,51.87604137064136,48.61104334072843,43.63854333875588,40.43404477618333,42.256043390570085,40.14554284969017,41.18704119402901,40.14554284969017,40.14554284969017,41.868540544436655,402.52555238758214,40.18004159215161,390.5830425429158,40.20353991967022,389.06802531359426,110.63404563192671,40.27404334676157,40.41754133892391,43.06754355052726,376.866031781341,0.17650938,0.3126385,0.055183627
Pareto solution 2,168.15127458472853,212.36829112324494,22.62952063185844,59.07652193985052,79.33701892874203,25.96702062893678,22.064018939967355,53.273772446067596,54.476018505655134,21.86077093299241,68.13052369491908,26.63602065934606,44.08252042362983,23.56177061269841,38.96451896344183,46.345269958464655,22.173522750665825,36.3785199977101,24.464023492222623,43.46302085304069,44.67052187671379,44.67052187671379,22.82977434727877,21.98377192630369,20.170269218365547,20.17927109323432,21.692773232140553,22.7292695966039,26.69602541764698,22.247772032973444,37.668519207475356,32.77102427373984,25.312272159647137,20.505524315788307,23.23852364479103,20.072773537182456,21.63501964626812,20.072773537182456,20.072773537182456,22.657269375590886,563.6427864365978,20.124521650874613,545.7290216695983,20.159766327307352,543.4565070849967,125.80552630311468,20.265523579078263,20.480769863610476,24.455771773592915,525.1534998975458,0.17650943,0.31263846,0.055183634
