,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,12.997,1724.471,4.007,253.458,4.478,20.981,7.069,9.076,6.547,3881.557,84.42,8.34,223.006,3885.972,213.362,231.504,260.227,12.363,67.535,45.293,2.898,3849.445,53.348,4.413,20.079,1693.16,3844.135,237.346,136.963,9.295,7.411,6.107,0.15168741,0.26153213,0.03967113
Pareto solution 1,172.4138708142409,1456.0193299732782,165.67136300960556,352.7596120090593,166.02464596418577,178.40187574904212,167.96782619338592,169.47306487854985,167.57636724087934,3073.8339308090217,225.98109022386143,168.9211294041579,329.920585212647,3077.1452384762742,322.68761167996854,336.2940981075226,357.8363473855643,171.93833025151253,213.31737832816088,196.63583100343476,164.83959737504483,3049.7499974042366,202.67711830156713,165.97589360310667,177.7253604442949,1432.536160698739,3045.7674101611556,340.67559734892075,265.38836660446395,169.6373561391738,168.2243387630151,167.24638280314502,0.15168734,0.2615321,0.039671108
Pareto solution 2,331.83072026752416,1187.5676962191646,327.33571824338287,452.0612143974031,327.571240213103,335.82272991528953,328.86668734133855,329.8701925139103,328.60572106423206,2266.1107634429936,367.54220623183573,329.50222281518654,436.83519971207716,2268.318276456237,432.0132173569582,441.0842083086609,455.44570782735536,331.5136964046542,359.09973163470204,347.9787000848846,326.7812078203424,2250.054833271395,352.0062249503062,327.5387386390503,335.3717133542268,1171.9122373203427,2247.399775109341,444.0052109818753,393.81372063995514,329.979713663095,329.03770207898924,328.38572508117795,0.15168734,0.2615321,0.039671108
