,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,136.804,553.523,9.924,93.131,11.966,83.104,26.106,8.604,10.876,6.683,169.203,4.406,2446.9,4.962,20.839,9.65,9.533,398.653,36.318,6.313,9.624,12.523,2305.742,62.845,6.825,0.33,0.603,2.411,0.219,19.748,2.502,0.199,1.804,26.111,2.243,90.285,0.337,0.337,1.724,2.999,0.119,0.712,2.491,1.373,93.75,1.914,197.994,3.426,0.229,1.608,0.205,0.249,2.33,1.814,1.765,9.547,166.338,162.452,151.661,42.6,324.57,17.289,0.849,0.759,23.242,32.319,0.19770813,0.37154633,0.07345773
Pareto solution 1,136.80400101936493,553.523012446768,9.924008901166644,93.1309971249305,11.96598989239169,83.10399828355122,26.106007374800015,8.604002036257953,10.876004571538942,6.683000873985293,169.20300300941352,4.406000134034912,2446.8998692933055,4.962001401498128,20.83899454184575,9.649998868344483,9.532991264549082,398.65302211534663,36.31800104145498,6.313002035557702,9.624003303862992,12.52299570098944,2305.741945076541,62.845001471994124,6.824993375876829,0.33000404027666264,0.6029942188372388,2.411005941852636,0.218999182285188,19.747998554607648,2.502002668039495,0.19899105048057208,1.804002773433922,26.11099792290588,2.243002562352558,90.28500192921427,0.3369960140880721,0.3369960140880721,1.7239978098441497,2.999005519601269,0.11900140001785076,0.7119930571850546,2.491001717566178,1.3729964368358196,93.75000080819078,1.914003090290862,197.99400410069325,3.4259998169120536,0.22899559162397054,1.6079947471832838,0.2049999215353182,0.24900372342858645,2.33000562500456,1.8139991827727044,1.764997176210045,9.546996650549772,166.3379980977764,162.45199656527592,151.66099518907657,42.599993967654314,324.5700245216817,17.289002830970844,0.8489934796580201,0.7590012946056959,23.241996285108485,32.31900394444642,0.19770806,0.3715462,0.07345768
Pareto solution 2,141.31365415201378,662.212421498893,-17.286335230077725,86.72239947538483,-14.733860522359123,74.18865092366073,2.941162479135812,-18.936344576869942,-16.096341407768705,-21.337596029710767,181.81240644816043,-24.183846954648743,3028.933477243938,-23.488845370319723,-3.6426039448851952,-17.62884853676178,-17.775108807162383,468.6249320533036,15.706154562454515,-21.800093812088903,-17.661342992363643,-14.037603261611935,2852.4860719729822,48.864904334972096,-21.1601061680027,-29.278841306190202,-28.93760358298948,-26.677589694876588,-29.417598144335898,-5.006349694589176,-26.563843787143014,-29.44260907474802,-27.436344421056333,2.9474002814399682,-26.887593919251685,83.16490509791137,-29.270102104582293,-29.270102104582293,-27.536349859887196,-25.942590222690797,-29.542594606513717,-28.801356566367417,-26.57759497523466,-27.97510157614761,87.49615398375313,-27.298843259328805,217.80115876933053,-25.408846585395963,-29.40510263266242,-27.68135445386963,-29.435096454616883,-29.380091702250297,-26.778840090936683,-27.423848909382855,-27.48510141758618,-17.757601309005167,178.2311506914422,173.37364839298843,159.88489667273925,23.558644954547333,376.02118506122247,-8.080093200650651,-28.630105272619858,-28.742595503935263,-0.6388521486349532,10.707408574021997,0.197708,0.37154624,0.073457666
