,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,6.917,7.897,6.427,456.967,0.16,10.869,0.593,172.22,9.179,7.521,0.16122864,0.2680973,0.043224964
Pareto solution 1,22.156498401309364,22.89149821177125,21.78900056524435,359.69401087937877,17.088754107244313,25.120498933363706,17.41350194060942,146.1337512760656,23.852998753485736,22.609500381106045,0.16122861,0.26809725,0.04322495
Pareto solution 2,37.39599962392822,37.8859988078475,37.15100003196858,262.4210100118071,34.017502738162875,39.37199928890914,34.2340016386006,120.04750016098842,38.52699951385148,37.698000598931685,0.16122863,0.26809722,0.043224946
