,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,7.924,2.823,0.069,3.251,0.362,0.395,132.762,9.385,0.344,0.266,1.346,0.011,0.176,8.957,12.622,224.54,12.996,8.978,235.102,0.269,0.218,238.1,0.061,0.093,0.078,1.252,0.07,0.02,0.67,0.296,0.076,0.04,0.068,0.428,0.025,238.988,0.028,15.347,0.296,0.204,1.997,0.0,6.797,7.587,0.087,0.003,239.405,0.033,8.593,0.42,0.515,0.202,1.113,0.0,0.16274868,0.26726598,0.043497186
Pareto solution 1,3.3045911139026884,-3.0716598068930807,-6.5141587473873415,-2.536659601192298,-6.147907449903357,-6.106658969647469,159.35207828980106,5.130842496358184,-6.170407510282473,-6.267907686112721,-4.917907410056671,-6.586660171922688,-6.380407988008301,4.5958422906574015,9.17709142658623,274.0746086887966,9.644591579868546,4.622093991538861,287.2771168867257,-6.264159392301281,-6.327907932936284,291.02458689732885,-6.524157887492436,-6.484158752694441,-6.502910519262116,-5.035405608659346,-6.5129094019294484,-6.5754083396687975,-5.762907475104839,-6.230407757106036,-6.505409467615664,-6.5504062416829925,-6.515408350282996,-6.0654104893915815,-6.5691580082506675,292.13460291954516,-6.565406367748324,12.58334145687715,-6.230407757106036,-6.345406749917402,-4.10415720003482,-6.600410695092364,1.8958419959830621,2.883340555555378,-6.491658944445987,-6.59665905459002,292.65582376904695,-6.559158868145573,4.140841641741417,-6.075409372058914,-5.956658738745205,-6.3479090449618525,-5.209155502836381,-6.600410695092364,0.16274868,0.26726606,0.043497197
