,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,20.745,0.31,0.441,0.014,0.001,0.006,0.15692735,0.2472605,0.038801935
Pareto solution 1,25.034709791518395,-0.5090417265741216,-0.3452916869879914,-0.8790414325175462,-0.8952917027372216,-0.8890415482179499,0.15692736,0.24726051,0.03880194
