,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,52.019,47.457,1.043,67.404,89.008,5.203,300.77,8.391,0.794,7.61,0.88,0.828,5.186,0.811,4.351,0.855,0.868,0.758,1.804,0.661,4.588,379.647,380.662,1.012,3.157,0.544,0.68,0.565,1.056,27.54,2.158,5.968,308.315,77.134,29.694,10.971,2.971,0.855,0.47,1.202,5.579,0.941,1.337,18.517,1.061,329.766,4.553,1.383,2.854,0.0,0.17675345,0.2801123,0.049510814
Pareto solution 1,48.028308712007856,45.74730882182894,22.54030782933114,55.72080813258799,66.52281035789565,24.620308518635284,172.40379239004687,26.214308005677594,22.415807065175613,25.823808867440675,22.458808934159606,22.43280843539469,24.611808587600535,22.424308504359942,24.19430904742694,22.446307882288238,22.452808006979467,22.397808808083937,22.920809444000042,22.349308225730056,24.31280888440233,211.8423020672053,212.3498004335852,22.524808576094074,23.59730954420229,22.290807103508996,22.358808059936564,22.301308349036844,22.54680795402237,35.78880918975847,23.09780889504691,25.002806923348544,176.17630188068142,60.58580911401805,36.86580821399002,27.5043082736629,23.504307992181566,22.446307882288238,22.253809178004303,22.619808426308737,24.80830690457151,22.48930673497307,22.687308677075634,31.277307912911056,22.54930846602656,186.90180321852677,24.295308316672163,22.71030795817569,23.445808378110087,22.018807802247466,0.17675345,0.2801123,0.049510814
