,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,208.862,616.74,5.675,45.23,26.886,28.384,403.103,116.95,5.456,1.849,18.847,112.423,141.827,51.722,2.491,146.062,4.605,38.316,31.855,4.217,2.002,4.287,1.805,2.214,2.026,1.535,86.726,2.394,95.971,2.058,106.281,1.414,6.299,1.747,14.829,36.696,10.109,29.685,90.002,249.686,454.275,4.439,26.312,145.507,155.079,4.13,3.383,14.109,31.369,66.506,3.333,46.901,249.801,183.406,16.333,184.805,1.253,6.792,1.448,3.041,1.502,366.385,239.951,3.006,0.18089315,0.2917201,0.052770168
Pareto solution 1,241.654331985118,751.5018576330876,-12.329416190370807,37.11432206466293,14.184326963291653,16.056828862168288,484.45555151047665,126.76431910827228,-12.60317486160693,-17.11192749603333,4.135570434769193,121.1055706458344,157.86057034407258,45.229324614531606,-16.309425247743434,163.15432306767343,-13.666924197508251,28.471826548390254,20.395577410138344,-14.151923787454507,-16.920672613502916,-14.064423946131114,-17.166924240425374,-16.65568282248705,-16.890681692124986,-17.504418412075665,88.98432223057462,-16.43068244806591,100.5405747636305,-16.850674931294975,113.42807186685513,-17.655678400884426,-11.549430410903824,-17.2394286210598,-0.8869248388950837,26.44682317859997,-6.786922485656305,17.683073200568288,93.07932356791248,292.6843219669663,548.4205544974052,-13.874427889940876,13.466829268579772,162.46057830318966,174.42556839416068,-14.260681271260637,-15.194421870854512,-1.7869263365796542,19.788073204210548,63.709319765663054,-15.256927756272148,39.20307599696645,292.82806551191356,209.83433045778418,0.9930743338987895,211.58306663220287,-17.8569263015047,-10.933180602545235,-17.613175895881795,-15.621929885090594,-17.545679434973408,438.55810414949156,280.51558275407547,-15.665680262179535,0.18089321,0.29172006,0.05277018
