,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,666.348,0.019,2.231,0.038,0.001,659.618,0.053,0.76,16.729,51.598,6.87,61.29,0.0,2.761,47.711,0.033,0.0,561.274,0.575,0.176,5.309,2.349,36.631,3.367,3.288,2.762,38.16,6.11,0.152,221.928,0.0,3.669,26.266,2.236,1.742,0.0,1.885,103.762,6.496,0.078,0.096,4.511,35.181,1.25,0.001,0.134,0.304,34.286,0.332,39.265,0.069,61.787,0.103,60.534,0.065,59.294,0.0,0.933,96.147,0.357,0.157,81.742,0.625,0.723,4.859,4.775,4.635,0.769,1.52,0.6,0.241,0.1774245,0.3161731,0.056096856
Pareto solution 1,354.5794195308408,21.41492295916828,22.52092194879333,21.424420547937416,21.40592222614964,351.21440663108297,21.431923069769937,21.785420648380068,29.76992217913073,47.204421819800416,24.84042231359831,52.050422687732066,21.405421548431832,22.785923785288787,45.26092158277103,21.421922892299335,21.405421548431832,302.0424122607292,21.69292330649023,21.493422345779663,24.05992117005917,22.57992165818132,39.72092239633491,23.088921709811757,23.049423588630816,22.78642255202294,40.48542215710549,24.460423213650074,21.481423279405135,132.36942213785278,21.405421548431832,23.239921905339088,34.53842262715705,22.523421515415066,22.27642305594054,21.405421548431832,22.347920598437213,73.28642252722625,24.653421096980082,21.44442090287862,21.453421635897257,23.66092307060535,38.99592218998302,22.030422129934323,21.40592222614964,21.472422546386497,21.557423099394782,38.548421653235266,21.571422965656893,41.03792192969203,21.439922447352956,52.298921269376365,21.456922557954613,51.67242247668776,21.437921647465373,51.05242198392057,21.405421548431832,21.871921323558126,69.4789232729604,21.583920798765575,21.48392284602687,62.27642014144317,21.717922794674905,21.766922326592294,23.834921954429774,23.79292235564344,23.722923024332886,21.789922925873043,22.16542165931196,21.70542113959891,21.525922444813204,0.17742443,0.31617302,0.05609682
