,Node_0,Node_1,Node_2,Node_3,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,5.901,11.946,2.585,0.258,0.15626143,0.24840373,0.038815923
Pareto solution 1,5.536749848100278,8.559249769340852,3.8787498019875386,2.7152497639303306,0.15626143,0.2484037,0.038815916
Pareto solution 2,5.718874951997824,10.252624891160892,3.2318749073868034,1.4866247520686358,0.15626141,0.24840371,0.038815916
