,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,Node_130,Node_131,Node_132,Node_133,Node_134,Node_135,Node_136,Node_137,Node_138,Node_139,Node_140,Node_141,Node_142,Node_143,Node_144,Node_145,Node_146,Node_147,Node_148,Node_149,Node_150,Node_151,Node_152,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.121,458.563,3.211,0.167,5.898,0.132,0.159,0.122,0.334,8.705,0.564,7.517,0.075,0.107,66.436,0.424,0.377,0.082,0.106,22.701,3.553,0.185,0.09,0.006,1.013,0.546,0.538,0.884,2.229,0.049,18.899,0.059,2.502,0.034,2.022,0.005,0.0,0.0,0.964,0.014,1.866,0.0,0.0,11.413,0.061,2.185,0.542,7.903,10.761,0.04,0.003,12.847,1.831,0.726,10.041,0.052,1.463,0.065,0.091,0.941,3.965,0.116,0.088,0.31,0.003,0.607,0.025,0.425,0.734,0.384,1.21,0.285,0.125,0.565,0.231,0.249,0.116,0.124,0.107,0.276,0.139,1.384,0.165,0.339,0.066,0.296,36.986,35.604,0.024,0.114,0.027,0.0,0.052,0.052,0.034,0.0,0.255,31.342,0.008,0.0,1.847,0.0,0.0,0.17,0.0,0.0,0.0,0.0,27.814,0.0,0.0,0.137,0.02,0.0,47.737,0.005,2.612,0.009,0.052,0.006,0.0,0.003,0.01,0.021,21.406,0.027,0.004,0.304,0.053,2.874,0.084,2.838,0.001,2.482,0.0,0.0,0.0,0.044,0.042,0.004,0.05,0.039,0.0,85.759,150.602,54.336,7.654,3.008,1.803,2.654,3.614,47.375,30.435,0.1843734,0.27549148,0.050793298
Pareto solution 1,-4.024352720365414,683.6386053553069,0.6106469405850703,-3.95535314482413,4.641145929487152,-4.00785360591567,-3.967352391495865,-4.022854768120851,-3.7048536926647557,8.851646429503464,-3.359853410540609,7.069646756309666,-4.093353498115562,-4.04535290480203,95.44814708226295,-3.569854052697906,-3.6403527826926165,-4.082854608106118,-4.046853261464321,29.84564831919124,1.123646293784418,-3.9283527359472146,-4.070852957016655,-4.196854063636351,-2.6863543651597865,-3.3868538194175244,-3.3988530660892593,-2.879853488449612,-0.8623534590051349,-4.132354355873076,24.1426471785511,-4.1173531936678955,-0.45285346911771285,-4.154852492554255,-1.172852751149776,-4.198353218089778,-4.205853799192369,-4.205853799192369,-2.759853808479079,-4.1848536147557525,-1.4068530888594069,-4.205853799192369,-4.205853799192369,12.9136467094242,-4.114353682552178,-0.928353523430701,-3.392854043857824,7.648646324210688,11.935645891369091,-4.145853959207102,-4.20135393141436,15.064646623277667,-1.4593535499509471,-3.1168533372749607,10.855646968320997,-4.127853285886204,-2.0113525586989454,-4.108353458111878,-4.069353802563228,-2.794353596249721,1.7416465691668463,-4.031853301468004,-4.0738524681323725,-3.7408526348888245,-4.20135393141436,-3.2953537027773336,-4.168353298097145,-3.568353696035615,-3.104852888394362,-3.6298538926831725,-2.390853830802598,-3.778354338192912,-4.0183536981339785,-3.358353053878318,-3.859353160405931,-3.8323539537378792,-4.031853301468004,-4.019854054796269,-4.04535290480203,-3.791852739318074,-3.9973535136973624,-2.1298542864249157,-3.958353858148712,-3.6973531115621654,-4.1068531014495875,-3.7618540215343046,51.273145874432885,49.20014827719888,-4.169853654759436,-4.034852812583722,-4.165352584772563,-4.205853799192369,-4.127853285886204,-4.127853285886204,-4.154852492554255,-4.205853799192369,-3.823353015972998,42.80714537010158,-4.19385335031177,-4.205853799192369,-1.4353526521897493,-4.205853799192369,-4.205853799192369,-3.9508532770461215,-4.205853799192369,-4.205853799192369,-4.205853799192369,-4.205853799192369,37.51514457601115,-4.205853799192369,-4.205853799192369,-4.00035302481308,-4.175852676990871,-4.205853799192369,67.399652517699,-4.198353218089778,-0.2878533080537977,-4.192354195858343,-4.127853285886204,-4.196854063636351,-4.205853799192369,-4.20135393141436,-4.190853839196052,-4.174353522537444,27.903146887519483,-4.165352584772563,-4.199853574752069,-3.7498535726537057,-4.126352929223913,0.10514636517501685,-4.079853894781536,0.051147350734481734,-4.204353442530078,-0.48285278800591414,-4.205853799192369,-4.205853799192369,-4.205853799192369,-4.1398537347668025,-4.142854448091384,-4.199853574752069,-4.130852797001921,-4.147354315869393,-4.205853799192369,124.43265261533634,221.6971395520486,77.29814499394752,7.275146328480091,0.30614667067186474,-1.5013533177197473,-0.2248527547439494,1.2151470115290408,66.85664843567156,41.446646473797045,0.18437338,0.27549148,0.050793294
Pareto solution 2,-1.9516761128980988,571.1007905531073,1.91082357951462,-1.8941764916597137,5.269572774502048,-1.937926825810628,-1.9041758638861594,-1.9504277692689271,-1.6854269732395863,8.778323177876612,-1.3979266880440946,7.293323454128553,-2.00917678606924,-1.969176291641297,80.94207372262554,-1.5729271981291575,-1.6316762149294703,-2.000427635923316,-1.9704265888598727,26.27332465321504,2.3383230780831035,-1.8716761008369147,-1.9904263101074662,-2.0954272322905467,-0.83667743346804,-1.4204270037288396,-1.4304264510933393,-0.997926778014282,0.6833232465227823,-2.0416774507751327,21.520823802865664,-2.0291765073168335,1.024573238095634,-2.0604259731475025,0.42457386144826614,-2.0966765527144204,-2.102926986874543,-2.102926986874543,-0.8979270447055043,-2.085426883269399,0.22957355497755572,-2.102926986874543,-2.102926986874543,12.16332339940357,-2.026676889674384,0.6283232429268466,-1.4254272158084405,7.775823092480696,11.348322736475493,-2.0529271202201542,-2.099177072013518,13.955823352660811,0.1858232208266415,-1.1954266269893878,10.448323633935415,-2.0379265591194056,-0.2741760032220597,-2.021676752732837,-1.9891770648216465,-0.9266768177556699,2.8533233200914694,-1.9579266221962754,-1.9929259277499156,-1.7154260667136256,-2.099177072013518,-1.3441769065286806,-2.071676619387226,-1.5716769009105818,-1.18542627796824,-1.6229270647835463,-0.590427038262419,-1.7466774109956447,-1.9466768776132,-1.3966763908255189,-1.8141764795985296,-1.7916771407084866,-1.9579266221962754,-1.9479272499698297,-1.969176291641297,-1.7579261787840181,-1.9291767740080559,-0.37292739290166566,-1.8966770109588111,-1.6791764639414097,-2.0204264555142615,-1.7329272222515257,44.12957271610048,42.402074618221405,-2.0729268414677477,-1.9604262398387249,-2.0691760249500746,-2.102926986874543,-2.0379265591194056,-2.0379265591194056,-2.0604259731475025,-2.102926986874543,-1.7841764093297883,37.074572295824396,-2.0929266378533953,-2.102926986874543,0.20582391886893703,-2.102926986874543,-2.102926986874543,-1.8904265767986885,-2.102926986874543,-2.102926986874543,-2.102926986874543,-2.102926986874543,32.664571734266445,-2.102926986874543,-2.102926986874543,-1.9316763916505053,-2.0779260767526466,-2.102926986874543,57.56832805178743,-2.0966765527144204,1.1620733973615813,-2.0916773174295216,-2.0379265591194056,-2.0954272322905467,-2.102926986874543,-2.099177072013518,-2.090427020210946,-2.076676756328773,24.654573560339315,-2.0691760249500746,-2.097926849932996,-1.722926798092324,-2.03667626190083,1.4895731250522601,-1.9979271166242185,1.4445739213057962,-2.1016766896559673,0.9995738307348176,-2.102926986874543,-2.102926986874543,-2.102926986874543,-2.0479269832786073,-2.050427502577705,-2.097926849932996,-2.040426176761855,-2.05417741743873,-2.102926986874543,105.09582813315188,186.1495678481832,65.81707198236268,7.464573091342403,1.6570733545869487,0.1508233893066233,1.2145738584531216,2.4145736636806134,57.11582505083419,35.94082321557062,0.18437338,0.27549148,0.050793294
