,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,12717.496,2.919,14.905,31.691,3.647,3.387,3.656,2.176,0.13682315,0.24818334,0.033957224
Pareto solution 1,7157.490455284191,800.2018289344996,806.194887575919,814.5879003106093,800.56583032255,800.4358745620193,800.5704022601494,799.8303746618694,0.13682315,0.24818331,0.03395722
Pareto solution 2,9937.493437579382,401.5603414816396,410.54997641573027,423.13947986044514,402.1064061929974,401.91142558023967,402.11321712743484,401.00317573001485,0.13682315,0.24818331,0.03395722
