,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,103.18,37.556,45.118,4.064,89.748,165.785,1.299,37.236,133.206,13.051,2.967,40.266,24.005,81.265,200.365,15.311,0.63,669.468,36.624,3.43,3.48,147.734,31.138,3.743,4.073,637.83,12.773,15.649,8.294,7.255,26.31,22.17,16.781,608.098,11.516,0.698,527.811,551.124,23.324,16.687,1.112,15.297,3.591,6.689,484.777,3.749,14.143,22.802,3.17,4.04,408.543,3.914,438.955,10.346,461.808,59.269,2.809,13.218,11.132,2.371,18.008,365.366,14.521,3.223,16.382,21.926,2.817,3.924,232.191,260.742,0.1798039,0.29540184,0.0531144
Pareto solution 1,103.67497253288865,70.86297118902439,74.64397235955062,54.11697181741192,96.9589726829422,134.97747390336167,52.73447472686212,70.70297215549772,118.68796978185992,58.610473121013456,53.568475649637094,72.21797221286761,64.08747047624433,92.71747266997352,152.26747695406357,59.740471987924366,52.39997318113092,386.81898785006524,70.39697393690585,53.79997410058377,53.824973447281536,125.9519690340054,67.65397339451056,53.956474511437136,54.12147234274971,370.99998418490395,58.47147118129487,59.90947475101075,56.23197226883303,55.71247234287739,65.23997196984419,63.169971414032716,60.47547206880449,356.1339774755561,57.84297281787258,52.433973578504265,315.9904487404183,327.64698081387724,63.74697090894688,60.42847372563415,52.64097095520128,59.733472063693625,53.88047456867935,55.42947502342258,294.47347996259305,53.95947486166233,59.15647256877946,63.485972585964646,53.669973211540764,54.10497041651115,256.3564734938427,54.04197377731862,271.562462745851,57.25797417494732,282.98897511240284,81.71947326935629,53.48946999888585,58.69397393933423,57.650971834533266,53.27047122128806,61.08897403886908,234.76796779421966,59.34547320189358,53.69647273335113,60.2759702099022,63.04797235188494,53.49347225177553,54.04697257510452,168.1804719477973,182.45597222844935,0.1798038,0.2954018,0.05311437
