,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,7.202,2.377,5452.459,0.369,1.174,78.221,3477.118,60.984,1.549,10.449,3374.929,8.943,95.291,3491.888,8.261,4.743,5409.869,1.497,3308.698,1.882,5403.826,1.727,3.109,50.104,0.803,1.663,0.1931369,0.26737273,0.05163954
Pareto solution 1,-281.950651562227,-287.98195544280406,6524.620947465621,-290.4920052936568,-289.48578895395985,-193.17703159457596,4055.444163494396,-214.72314048681528,-289.0170487461437,-277.89193598494694,3927.708023229672,-279.7743785749735,-171.83939104491674,4073.906752289624,-280.6269782186864,-285.0244439144153,6471.383493968562,-289.0819927456896,3844.9192268985935,-288.6007100183115,6463.829980327238,-288.7943898552685,-287.06702239373317,-228.3232132127414,-289.949468400976,-288.8744140469389,0.19313687,0.2673727,0.051639527
Pareto solution 2,296.3547067189138,292.7359127231075,4380.297666135622,291.229906147516,291.8336242838741,349.6188786995044,2898.7916190878077,336.6912016967008,292.1148684085638,298.7899243978218,2822.1499115940533,297.6604705112659,362.4214513618399,2909.8691723649445,297.14891072503815,294.5104313076008,4348.355194037387,292.0759136762963,2772.476633795406,292.3646833127232,4343.823085852593,292.24847541054896,293.28489588747016,328.53116972860516,291.55542828312446,292.20044922808665,0.1931369,0.2673726,0.051639516
