,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,90.394,80.49,2.83,0.942,89.334,3.732,3.752,0.427,115.482,615.286,4.644,2.729,4.397,3.671,0.541,724.983,895.731,5.499,15.669,11.365,5.672,5.651,22.414,4.004,47.236,15.86,49.7,7.985,13.72,54.357,0.403,209.591,0.339,1044.214,1033.26,1003.343,1.09,3.968,0.402,1.899,19.475,6.143,0.458,4.287,3.103,4.241,0.4,1.699,1.836,1.77,0.4,3.879,0.921,0.388,0.1759364,0.38307777,0.067397326
Pareto solution 1,90.39399647136634,80.48999841260229,2.830003969847894,0.9419957376046568,89.33399947799899,3.732005428533739,3.752000133743195,0.42699483533897364,115.48200224818021,615.2860053353925,4.644003196150379,2.7289972066068913,4.397005235805864,3.6709985124509785,0.5410016010901018,724.9829321040597,895.7309766339004,5.499003842935053,15.66899681497307,11.364996144493716,5.671992797338817,5.651006601892959,22.414002613168122,4.003995204879175,47.235998253745265,15.859997494113486,49.700003867597616,7.984997579208994,13.720002540125734,54.35699906673642,0.4030028589659196,209.59100487527053,0.33900059869529287,1044.213966126059,1033.2599986930763,1003.3430102575494,1.0900012253989644,3.9680030656238614,0.4020009319901874,1.8990029872582,19.475004293599795,6.142998668630526,0.457998213194287,4.2870061779576645,3.1029956731690618,4.240996856292895,0.4000075147780535,1.698995402075525,1.8360026539633054,1.7699986270890804,0.4000075147780535,3.878998552612984,0.9209991054194688,0.38799691515646373,0.1759364,0.38307768,0.06739731
Pareto solution 2,96.71219390198667,89.28419535791363,31.039199525847835,29.623193873502373,95.91719615696115,31.71570061986222,31.730697170606277,29.236943718640077,115.52819823663549,490.381204724702,32.39969842373773,30.96344340974315,32.21444943164238,31.66994491096318,29.32244774927949,572.6538956265067,700.7149331985829,33.040949430663204,40.66844415969172,37.440443134995235,33.17069166830299,33.15495097804467,45.727198508338006,31.919692952121295,64.34369576060783,40.81169466904703,66.19169997099709,34.90544577654259,39.20669740988228,69.68444610943271,29.218948692686354,186.10994968307784,29.17094595380945,812.0771711430061,803.8616872188777,781.4239584163197,29.73419694567417,31.892698325842844,29.218197247454555,30.34094931074253,43.52294872498783,33.523946071771775,29.260195730194596,32.13195118193016,31.24394330333871,32.09744523435552,29.216701662708488,30.190943100018558,30.293698017097427,30.244195518778724,29.216701662708488,31.825944941084686,29.607445877526516,29.20769475666623,0.17593637,0.3830778,0.06739732
