,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,22.986,2.162,6.122,15771.948,10.244,6.219,5.618,15784.716,15761.497,15731.109,15715.671,15700.619,29.788,6.431,6.268,190.607,187.944,2.804,2.299,1080.677,1067.252,1075.073,2.702,9.963,0.19405004,0.26962265,0.052320287
Pareto solution 1,2056.9244737160043,2046.5126096954336,2048.492590470036,9931.405587889836,2050.553481024821,2048.5409757231973,2048.240425001277,9937.789229008195,9926.17998054839,9910.986207980925,9903.266652030463,9895.741038630018,2060.3254952452844,2048.646981589045,2048.565469502806,2140.734959864465,2139.403662712124,2046.8334380545712,2046.581071817127,2585.7699704014885,2579.05747017658,2582.968042629196,2046.7824428085005,2050.4129429450986,0.19404985,0.26962253,0.052320212
