,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,1.114,4.296,2.624,3082.293,3087.042,3083.394,4832.286,5.802,3082.363,177.2,2.426,3079.168,1.701,6.814,4.069,26.629,0.15613016,0.266697,0.041639443
Pareto solution 1,-638.3046534653986,-633.5316548082046,-636.0395859805867,3983.463642175775,3990.5873780352995,3985.1154738686746,6608.453916575294,-631.2725642804289,3983.568836619612,-374.17574968806,-636.336640745285,3978.7763132360997,-637.4240484620677,-629.754815657041,-633.8721421273658,-600.0320060118102,0.15613016,0.2666969,0.041639432
Pareto solution 2,640.5326448084088,642.1236609634652,641.2876340980292,2181.122109894117,2183.4966553086415,2181.6726872531,3056.118834821973,642.8766579340736,2181.157174708729,728.5756127341883,641.1886656511051,2179.559633708908,640.8261632068607,643.3826073471864,642.0101485877531,653.2901607542881,0.1561302,0.26669687,0.041639436
