,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,33.431,1686.295,32.334,1423.965,1582.271,22.642,801.613,577.486,52.372,25.575,371.199,21.652,21.947,1389.624,135.612,18.372,27.314,1327.551,40.658,2443.887,54.057,31.099,27.308,18.713,281.567,468.038,14.991,64.108,37.418,79.39,10.702,2225.869,844.97,84.073,86.377,1005.451,1304.637,709.616,2110.225,61.82,144.726,98.139,29.664,671.906,39.326,52.832,21.055,1799.575,24.717,535.073,1918.945,1538.748,57.609,60.421,670.998,85.029,33.668,1108.484,117.049,4.181,5.621,56.33,0.18201004,0.45738187,0.08324809
Pareto solution 1,-196.87224336863437,2282.423814578433,-198.51779106025788,1888.928838539723,2126.387811684108,-213.0556848480046,955.4007268710302,619.2102964525611,-168.46070393799891,-208.65624306512473,309.77977617279976,-214.54072678276134,-214.09824490016035,1837.4173202790553,-43.60072180330462,-219.46072122424084,-206.0477416509093,1744.3078175745904,-186.03180092864932,3418.8118468699395,-165.93322317899947,-200.37023439013865,-206.05671251647436,-218.94922024981497,175.33175716775077,455.03825391400824,-224.53225055702205,-150.85671377360995,-190.891747143869,-127.933727696618,-230.96573508351867,3091.784519179637,1020.4362290640711,-120.90921668474039,-117.45321093045277,1261.1577686228338,1709.9367139388414,817.4052962652604,2918.3188518598763,-154.28875681041973,-29.92968841241236,-99.81022578736884,-202.52275721410115,760.8402712215502,-188.02971775417973,-167.77075547557615,-215.43627778570226,2452.3438078975596,-209.94319858997187,555.5907564884956,2631.3985669201793,2061.1033477669844,-160.60521599152707,-156.38725239447012,759.4782352092261,-119.47525211067841,-196.5167223089884,1415.7072748474457,-71.44523787534126,-240.74721129378304,-238.58725315782067,-162.52368812471104,0.18200998,0.45738196,0.08324808
Pareto solution 2,263.7342426692976,1090.1662417803345,263.18572677208977,959.0012362976631,1038.1542542853276,258.339741971522,647.8252260143017,535.7617492081454,273.2047490779587,259.8062360355834,432.6182424482249,257.84474819792194,257.99224215878894,941.8307571503101,314.82473638797273,256.204736580994,260.6757432418726,910.7942697185899,267.34772348262595,1468.9622121348657,274.04724266429184,262.5682321923614,260.67275295335094,256.3752436406867,387.80223274576656,481.037735449558,254.51423353828432,279.0727457994217,265.727734676002,286.713741158419,252.36973196123472,1359.9531837233735,669.5037267453154,289.0552380941608,290.20724674714074,749.7442399315696,899.3372217035721,601.8267491457118,1302.1312676772504,277.9287381887025,319.3817542531542,296.08823505995133,261.85074478902607,582.9717374303664,266.68173773768103,273.43473863365034,257.5462244620576,1146.8062260836086,259.3772508606344,514.5552367286507,1206.4911726973514,1016.392752843185,275.82325179500003,277.2292329258016,582.5177287937004,289.5332397552829,263.85274295429554,801.2607487413243,305.5432445003953,249.10924662603065,249.8292394062355,275.18375434905465,0.18201001,0.45738178,0.083248064
