,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,20.237,2.451,0.004,0.192,0.0,0.193,0.0,0.0,0.014,2.183,0.007,0.01,0.154,0.0,0.012,0.552,0.228,1.496,0.063,0.415,0.0,0.203,19.998,0.2,0.204,0.004,1.357,0.162,0.049,0.065,0.788,0.226,0.217,19.563,0.209,18.582,0.16556987,0.26968086,0.044651024
Pareto solution 1,24.67098636192253,2.438486099521141,-0.6202638480256155,-0.3852639524751069,-0.6252639411454126,-0.38401377643106827,-0.6252639411454126,-0.6252639411454126,-0.6077638981225846,2.103486220714438,-0.6165139309498571,-0.6127639912423817,-0.43276398842379393,-0.6252639411454126,-0.6102636617860213,0.06473621299338106,-0.34026395177046,1.2447361346573338,-0.5465140078074313,-0.10651391541995281,-0.6252639411454126,-0.3715138265280373,24.372235748702735,-0.3752637436037958,-0.37026394469631896,-0.6202638480256155,1.0709861067902615,-0.42276380218419973,-0.564013779249656,-0.544013678351071,0.35973611702732455,-0.3427636928021798,-0.35401405508581263,23.828485574222327,-0.3640136755324832,22.602238678197637,0.1655699,0.26968086,0.04465103
