,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,1.228,1.754,2.607,2.437,0.428,2.687,1.207,1.18,0.481,0.718,1.366,0.221,1.046,0.338,14.94,4.224,1.604,10.969,0.147,7.814,26.135,0.155,6.611,8.283,34.415,43.754,50.973,3.45,0.45,3.552,0.328,1.088,0.388,1.724,5.523,0.689,4.618,3.62,8.047,10.182,4.946,0.183,0.13,0.239,5.39,1.462,1.691,49.718,58.767,43.977,1.249,0.175,0.027,0.14,0.406,4.366,0.96,0.148,0.035,5.274,0.235,5.573,0.121,0.004,0.6,8.333,0.075,1.085,0.938,0.417,0.868,0.017,0.667,0.275,0.105,0.071,0.001,0.153,0.098,0.032,0.019,82.04,0.321,0.01,0.027,0.017,0.044,12.831,0.273,0.004,0.019,17.881,0.018,0.215,13.452,0.313,0.043,0.256,108.483,108.145,0.647,1.601,165.347,0.39,0.972,1.668,0.083,0.369,169.733,0.031,0.06,1.726,0.566,0.065,0.079,9.274,0.144,1.205,0.065,0.067,1.448,17.301,1110.079,17.164,87.871,19.239,15.132,509.75,0.17255673,0.2908781,0.05019297
Pareto solution 1,-9.669012912026574,-8.880013260665692,-7.6005124607725065,-7.8555116902816735,-10.86901312647069,-7.480512439328095,-9.700512836049711,-9.741012272045054,-10.789512541021622,-10.434013864794906,-9.462014343943338,-11.179514242836376,-9.942014429720984,-11.004015598776277,10.898986520032508,-5.175015046750104,-9.10501085269334,4.942486353251752,-11.29051148806775,0.2099867316280779,27.691487072729245,-11.278512138771475,-1.5945133460242005,0.9134861228917543,40.11148888419575,54.11998820492795,64.9484836931424,-6.3360141117404964,-10.836011651665103,-6.183012615490497,-11.019014785396621,-9.87901458167471,-10.929013137192896,-8.925014084767554,-3.226514616940449,-10.477513138114318,-4.584014451500252,-6.0810148822313295,0.5594857332066567,3.7619867135344975,-4.0920150164263305,-11.236511151993682,-11.31601173744275,-11.152512442678926,-3.4260152238339288,-9.318015623906376,-8.974513032735103,63.065982948703095,76.63948300775951,54.454488019886185,-9.637512988003436,-11.248513765530788,-11.4705147844752,-11.301012550822406,-10.902014601276278,-4.962010275537068,-10.071017227378434,-11.289013201526132,-11.458512170938093,-3.600013949231993,-11.158512117327064,-3.151512155357068,-11.329512637521475,-11.505011281581574,-10.611014059637455,0.9884853202343038,-11.398512160215887,-9.883512705540397,-10.10401543794319,-10.885513863873484,-10.209013008526426,-11.485513971095543,-10.510514612919906,-11.09851537084569,-11.353514600354856,-11.404515099104856,-11.509512669688093,-11.281515240336375,-11.364015663109512,-11.463013559044612,-11.482514133771474,111.54899471381032,-11.029515848151277,-11.496015033850199,-11.4705147844752,-11.485513971095543,-11.4450145351002,7.735486689158392,-11.101511943928926,-11.505011281581574,-11.482514133771474,15.31048804283688,-11.484012420313093,-11.18851049056775,8.666986774014617,-11.041515197447552,-11.446512821641818,-11.127012193303926,151.21349013233157,150.70648824639648,-10.540512986160593,-9.109512240799859,236.5095132091974,-10.926013299868828,-10.053011674952359,-9.009016058323141,-11.386512810919612,-10.957513223891965,243.08847309224075,-11.46451184558623,-11.421012572266818,-8.922014247443485,-10.662014558387455,-11.41351134683623,-11.39251248556775,2.399987122988591,-11.2950161404151,-9.703515937614611,-11.41351134683623,-11.410511509512162,-9.339011220934026,14.440487887364895,1653.607465160043,14.234985973702862,120.29548885069198,17.3474873459775,11.186987224347263,753.1139861385855,0.17255676,0.29087806,0.050192975
