,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.125,14.926,3.854,0.085,0.239,0.416,6.86,0.155,554.406,0.033,0.0,0.259,0.05,3.075,31.572,41.435,0.175,0.0,232.178,0.024,0.0,0.0,3.464,0.154,0.158,0.005,0.611,0.087,2.103,0.49,1.908,0.15,0.051,0.051,0.0,125.404,2.593,0.0,0.0,0.199,2.462,5.604,0.109,0.0,0.0,7.864,1.505,0.0,2.141,0.019,0.019,7.217,0.341,3.362,1.121,0.0,0.517,0.248,5.57,5.275,0.0,37.143,0.808,13.22,0.0,5.857,0.356,0.427,0.506,13.262,12.077,239.824,281.995,858.089,180.183,71.348,11.733,14.5,12.976,14.115,15.013,14.079,104.151,12.317,34.991,64.104,79.637,88.193,48.731,14.369,15.239,12.536,17.42,21.584,13.379,13.988,29.523,14.799,14.364,292.436,0.15929718,0.36474735,0.058103226
Pareto solution 1,-9.243601337349446,9.257645707740267,-4.582351212794151,-9.293601002631476,-9.101104393888818,-8.879852721126099,-0.8248519767689686,-9.206104952536975,683.6076645573266,-9.35860182905401,-9.399852183689632,-9.076103299691908,-9.337351761049831,-5.556104155830894,30.06514870784899,42.39389991053804,-9.181103858340066,-9.399852183689632,280.8226300968845,-9.369854907632202,-9.399852183689632,-9.399852183689632,-5.069852995517522,-9.207352631316553,-9.202353926344244,-9.393600333195536,-8.636103301579624,-9.291100178330112,-6.771100227370539,-8.78735249931708,-7.014852590547434,-9.212348392658441,-9.336101559158465,-9.336101559158465,-9.399852183689632,147.3551510001373,-6.158606430258828,-9.399852183689632,-9.399852183689632,-9.151101115540428,-6.322350918611846,-2.394849876997341,-9.263601203462258,-9.399852183689632,-9.399852183689632,0.43014677062672035,-7.518600269560466,-9.399852183689632,-6.723601386389873,-9.376101291384089,-9.376101291384089,-0.37860054868122006,-8.973603144826484,-5.197354244579856,-7.9986054666405835,-9.399852183689632,-8.753604617585552,-9.089851315310625,-2.4373529566361185,-2.8061002778317743,-9.399852183689632,37.028900167110386,-8.389850534619995,7.125150732051793,-9.399852183689632,-2.07860304538508,-8.954853480605038,-8.866107228619171,-8.767352633204268,7.177648488264083,5.696396840021578,290.3801540039385,343.09388017497986,1063.211380695735,215.82889530055218,79.78514665476814,5.266396985225015,8.725145908337595,6.820146045533306,8.243898499220109,9.36639750284047,8.198900272281492,120.78889234414964,5.996400298455967,34.338899849523685,70.73014419439778,90.1463952065958,100.84139509858937,51.51389636390317,8.561395953242368,9.648898975832992,6.270146783800556,12.375146705043676,17.580146763949415,7.323896457917442,8.08514724909719,27.50389866507794,9.098897190988453,8.555149569490482,356.1451637043283,0.15929721,0.36474738,0.05810324
Pareto solution 2,18.862203782687175,26.26270260072306,20.72670433713165,18.842203916574363,18.919202560071426,19.007703229176514,22.229703526919366,18.87720284123452,296.0027101405576,18.816204090627707,18.799702939528743,18.929202493127832,18.82470361320702,20.337203159916953,34.585703863844344,39.51720428184217,18.887202774290927,18.799702939528743,134.8887003933596,18.81170285919643,18.799702939528743,18.799702939528743,20.531703119419944,18.876703265100332,18.878703251711613,18.80220418434874,19.105202996995104,18.843204750917266,19.851204731301095,19.04470382252248,19.75370328140798,18.874704960563577,18.82520318934121,18.82520318934121,18.799702939528743,81.50170370843716,20.09620225014578,18.799702939528743,18.799702939528743,18.89920437603314,20.030703950182215,21.601704366828017,18.85420383624205,18.799702939528743,18.799702939528743,22.7317035305,19.552204209802767,18.799702939528743,19.870203763071004,18.80920329645096,18.80920329645096,22.408203593532107,18.97020305969636,20.48070261979501,19.36020213097072,18.799702939528743,19.058202470592732,18.923703791502703,21.584703639594863,21.437204206494243,18.799702939528743,37.371204376586384,19.203703599156597,25.409704105825313,18.799702939528743,21.72820309947292,18.977703430007296,19.013201930801642,19.052703768967604,25.430703965243765,24.838203305946763,138.71170591920236,159.7971963876189,447.84419659592095,108.89120243784782,54.47370297953421,24.666203616339317,26.04970318558435,25.287703240462633,25.85720321269264,26.30620357107432,25.83920417422837,70.87520125528681,24.95820418469816,36.29520419435863,50.851701995386065,58.61820340950999,62.89620336630742,43.16520298934381,25.984203203546258,26.41920365564897,25.067703031147175,27.50970350426678,29.59170302320672,25.48920315310511,25.79370321726583,33.56120378365813,26.199203446333513,25.981703640800788,165.01770979935827,0.15929718,0.36474743,0.058103237
