,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,1.852,0.766,2.412,11.24,0.244,9.883,0.384,7.75,0.356,1.498,16.74,1.257,2.195,92.553,23.359,1.02,1.955,14.547,0.16641146,0.26382574,0.043903627
Pareto solution 1,-2.500082484733184,-4.1290841669183465,-1.6600843433162709,11.581916314332076,-4.91208312593767,9.546417204514192,-4.7020839028666614,6.346916744315251,-4.744083497654287,-3.0310826258938732,19.83191637357129,-3.3925829301836075,-1.9855846380357889,133.55141600093248,29.760415473747344,-3.748083649255932,-2.345583484605072,16.542416748225662,0.16641147,0.2638257,0.043903627
