,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,3209.234,1.741,7.127,12502.341,12.058,120.333,7.604,15.171,21.741,17.905,220.085,18.155,6.682,1.679,12433.844,9.25,144.88,244.579,96.284,35.175,61.956,10.256,9.479,2.088,6.102,9.625,7.373,691.9,77.3,6.577,11.706,6.34,13.054,4.461,50.894,92.197,148.655,0.948,622.973,13.648,23.857,832.1,78.461,8.028,11.589,8.11,12.944,1464.848,7.623,1815.852,356.84,7.37,205.767,94.082,12.187,6.534,0.25750113,0.3807602,0.098046176
Pareto solution 1,3209.2339880971194,1.74102052031958,7.126984976508538,12502.34078109311,12.057998752670755,120.33299740128041,7.603986171496217,15.171072006911345,21.74104643454666,17.90503999880457,220.08500211701084,18.15504445611623,6.6820066288200906,1.6789762536773196,12433.844189179596,9.250012733840776,144.88003268175999,244.57895604734767,96.28397830932863,35.17496154727996,61.95599071247216,10.255982635791952,9.478993495751638,2.087981109318207,6.101975403391407,9.62499331422623,7.373003981629154,691.9000241064961,77.29995554241577,6.577027381586959,11.70597368075687,6.340058311572648,13.053996322283638,4.461013323962106,50.894002678076504,92.19702761532153,148.65497816111656,0.9479677454655757,622.973021303937,13.648002735963018,23.85697347356472,832.099973033964,78.46102740911192,8.028027842390657,11.589020673229243,8.109999369988145,12.944004803299322,1464.8479798013122,7.622973631498098,1815.8521668240428,356.8399855607381,7.370027945276888,205.7669866611377,94.08196376261185,12.187012539099669,6.534005382389296,0.25750113,0.3807602,0.098046176
Pareto solution 2,4493.140415146481,-318.09907102616125,-310.0201243418778,18432.800569833023,-302.62361237949517,-140.21111005565035,-309.3046225493963,-297.95398509441293,-288.09902345295995,-293.8530418084338,9.416897017945303,-293.4780264206056,-310.6875918634105,-318.1921461279853,18330.055681962753,-306.83559140774014,-103.39054408213997,46.15782356252021,-176.28463869357802,-267.9481594857207,-227.77661138700205,-305.326619151092,-306.49211156301317,-317.5786301426633,-311.5576387015535,-306.2731031334406,-309.6510958341969,717.1394348969698,-204.76067719487764,-310.8450607342602,-303.1516412855053,-311.20051433928165,-301.12960732321517,-314.01908182069747,-244.36959778952587,-182.41506473458867,-97.72813891589612,-319.28865018844226,613.7489298773316,-300.2386064045568,-284.92514159629354,927.4393555688403,-203.01905199111206,-308.66855134119396,-303.32707079679676,-308.5456114535191,-301.29459460169164,1876.561359193467,-309.27615006125416,2403.0676484294236,214.54937435900138,-309.6555511868646,-12.060130516794743,-179.58765616272285,-302.4300829979911,-310.9095937330567,0.2575013,0.38076013,0.09804623
