,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,3.019,3.693,1.894,1.327,6.22,13.261,15.336,188.713,3.001,3.71,1.281,17.227,1.895,3.091,314.801,524.559,146.657,2.214,1.679,319.625,1.647,530.519,1170.787,1090.148,1154.967,1.313,1529.728,555.16,3.05,3.635,25.589,1518.295,355.458,15.153,1.694,2.376,2.455,7.496,11.2,10845.242,7.847,63.253,71.936,7.935,10300.178,10286.516,7.146,4.308,66.485,21.897,31.481,19.689,321.986,123.327,18.69,263.37,15.129,196.255,9.217,509.651,7.845,11.502,0.16219951,0.2752338,0.044642787
Pareto solution 1,-340.3486044615638,-339.33761863228574,-342.0360700259771,-342.8865702725161,-335.5471718609042,-324.9855936582535,-321.87316013609234,-61.80757346069731,-340.37560764436785,-339.3120822890414,-342.9556450808741,-319.036559125685,-342.03460318641737,-340.24059173034766,127.32438576191635,441.9614379857703,-124.89160903318407,-341.5561467918451,-342.35850803101494,134.5603719845676,-342.4066470383841,450.90135838061906,1411.3033921278693,1290.3448016792609,1387.5734618013594,-342.9076394225558,1949.7149868172128,487.8628482811073,-340.3021323173307,-339.4245622134622,-306.4936140504724,1932.5654987792077,188.30990732063947,-322.1475924828119,-342.3361053904664,-341.31311814660876,-341.1946375148982,-333.6330795845133,-328.07709137942584,15922.986518038437,-333.10661753162276,-249.99762166239088,-236.97315316443564,-332.97460197124747,15105.389349710778,15084.897334363312,-334.15807479784417,-338.41517657279473,-245.14958356844727,-312.03166680821596,-297.6555723304991,-315.3435905104998,138.1018894152112,-159.88653380575852,-316.8421671443357,50.177892679392244,-322.1835967265506,-50.494573356314504,-331.05157530844735,419.59940222322984,-333.1096845597931,-327.62410465357243,0.1621995,0.27523375,0.044642776
