,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,2685.563,308.191,4.445,323.916,3.235,47.168,12.876,14.467,18.246,4.669,3.377,14.848,4.129,367.076,2129.881,5.155,5.917,22.614,51.882,6.448,17.571,4.934,12.746,2045.092,19.573,5.499,11.242,1994.935,1971.739,1929.184,11.645,11.935,13.234,1741.525,173.314,12.454,0.185308,0.2847376,0.05276415
Pareto solution 1,3245.76803154986,274.0531694433902,-105.6293370897256,293.70938213840964,-107.14190141068002,-52.2255828660891,-95.0905710994225,-93.10183192680961,-88.37805307451663,-105.34930551424077,-106.96430371331553,-92.62562072315086,-106.02436215942726,347.65939559824307,2551.1658124958703,-104.74186358957377,-103.789362419589,-82.91806139523396,-46.33308720481682,-103.12557489448909,-89.22186176366631,-105.01806002902913,-95.25310089267123,2445.1793745615723,-86.71934765377273,-104.31186183693671,-97.13306882178176,2382.483164501208,2353.4881547424384,2300.294515080416,-96.6293876232453,-96.26683700712647,-94.64311432798468,2065.720716072843,105.45691349205845,-95.61807497547534,0.18530795,0.2847376,0.05276414
