,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.053,1025.513,0.007,0.002,0.002,0.679,0.581,1.01,0.0,0.0,0.0,0.812,1026.548,0.0,27.391,0.001,1.369,1025.698,2.098,7.387,2.532,1611.052,1.276,1011.281,2.078,9.573,2.741,41.299,144.96,1620.036,833.294,41.764,114.143,102.765,5.792,1610.815,3.519,5.454,13.855,0.18428905,0.30897895,0.05694144
Pareto solution 1,132.04419583006893,644.7741416948265,132.02117451151207,132.01869715177236,132.01869715177236,132.35717397913686,132.30818570086922,132.5226888002835,132.01768505968357,132.01768505968357,132.01768505968357,132.42368504580736,645.2916681867937,132.01768505968357,145.71318680538934,132.01818355280193,132.70217653459622,644.8666801446161,133.0666807450798,135.71118673796445,133.28369141593794,937.5436818615999,132.65568072192036,637.6581675361303,133.0566806710085,136.80418577044475,133.388178594716,152.6671809123236,204.4976894470774,942.0356788803765,548.6646986872729,152.89969018740703,189.08918785293463,183.40018801016595,134.91368838370545,937.4251311345433,133.77718449725944,134.7446841107303,138.94518350208455,0.18428907,0.30897877,0.05694141
