,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,22.935,14.756,17.395,2804.858,36.847,176.082,11.302,32.285,136.324,38.7,590.165,42.522,141.37,31.919,45.506,35.361,0.15235867,0.29021576,0.044216886
Pareto solution 1,82.48759627968639,76.35334667683469,78.33259757811584,2168.929733380068,92.92159611642683,197.34784717788523,73.76285097538675,89.50009967470601,167.52934650735085,94.31134382119853,507.91008735613696,97.17784564372232,171.31384048374628,89.22561099107065,99.41584337762924,91.80708956426838,0.15235868,0.29021582,0.0442169
