,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,520.093,4.169,2.798,44.189,4.857,6.03,17.168,5.606,2.823,1.822,1.085,4.471,2.176,12.151,22.19,2.339,14.128,11.285,3.692,6.295,2.819,49.539,7.594,37.762,1098.206,4.748,1220.912,8.562,3.563,1281.0,4.343,7.295,0.15443264,0.30666792,0.047359537
Pareto solution 1,615.6185295404739,-29.286469791525747,-31.000222513776862,20.738505660357532,-28.426499105038488,-26.960239686264686,-13.037731673130338,-27.490235997844138,-30.968990588273073,-32.220219768535685,-33.14147325575402,-28.909006914038173,-31.777730582744198,-19.30898473651814,-6.76023723356036,-31.573980956137348,-16.837742483859074,-20.39147399479873,-29.882740686645548,-26.628984082708712,-30.973982371082343,27.426018311934058,-25.005249536219594,12.704771005721227,1338.259716317626,-28.562741690506186,1491.6421568368405,-23.79523584707931,-30.0439764577078,1566.7523040367878,-29.06897727408989,-25.378986041908433,0.1544327,0.3066679,0.047359552
Pareto solution 2,711.1440481927093,-62.74195047843568,-64.79845427239161,-2.7119804634303364,-61.70998670916015,-59.950474879377,-43.243464209106605,-60.58647045327234,-64.76097701629624,-66.26245045084761,-67.36795569001879,-62.28899660721436,-65.73146290064324,-50.768968939681145,-35.710472463386395,-65.48696440322419,-47.803478236490264,-52.06795552236326,-63.45747713434321,-59.552967100600654,-64.76696662841277,5.313034718461495,-57.604487226577476,-12.352461521739315,1578.3134681072552,-61.873477811721386,1762.3723925122758,-56.15247027235455,-63.65095847785415,1852.5045818063227,-62.480959457512654,-58.05296997889491,0.1544327,0.3066679,0.047359552
