,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,14.954,1.32,1.217,41.169,0.6,0.575,4.35,41.411,0.925,58.828,5.625,0.518,334.612,5.897,0.336,0.839,3.314,0.696,6.579,1.203,1.125,343.768,1.199,1.917,94.451,0.702,3.513,0.815,1.065,0.899,48.257,1.121,1.383,355.533,4.498,61.425,44.953,0.835,3.062,5.259,54.145,0.849,2.242,0.865,382.953,0.972,57.701,78.137,1.919,4.485,3.066,5.631,0.21954831,0.29050574,0.06378005
Pareto solution 1,8.626571879407493,-8.41592998136116,-8.544679773882308,41.395319898297146,-9.315927254572216,-9.347174241627272,-4.628432462045794,41.697820637333166,-8.909679107816146,63.46907028831481,-3.0346781436091987,-9.418428183012338,408.1990704723921,-2.694680932922438,-9.64593135795917,-9.017178856707687,-5.92342966415049,-9.195928362119957,-1.842178033818982,-8.56217738915575,-8.659679845883147,419.64409692480695,-8.567175860868474,-7.6696759054509585,107.99781674312044,-9.188428387749354,-5.674676794312745,-9.047179800406184,-8.734677497157008,-8.942181205433826,50.255321560088305,-8.664678666334567,-8.337180250469828,434.3503407271528,-4.443424492016447,66.7153206453113,46.12532022712489,-9.022177677159107,-6.238428936454511,-3.49218146255771,57.61532268075507,-9.004680061885665,-7.263427758694888,-8.984676410351312,468.6253477517839,-8.85092814611744,62.060321673106046,87.6053219127923,-7.6671789363961125,-4.459675715194635,-6.233430464741787,-3.027177820499901,0.21954831,0.29050565,0.063780025
Pareto solution 2,27.60885705376495,20.791856727943923,20.74035639244903,40.71635626132081,20.4318565632002,20.419357768378177,22.30685573567007,40.83735655693522,20.59435624038906,49.545856626571094,22.944357044558274,20.39085744728345,187.43785983885027,23.080356765805845,20.29985617730472,20.551356759318878,21.788856017855323,20.47985695715397,23.421356251501493,20.733356509366786,20.694356363648694,192.01586707192473,20.73135753916813,21.090357521335136,67.35735416227726,20.482856109929344,21.888356747303988,20.539355963353046,20.664356466166282,20.58135665680129,44.260356926037275,20.69235599849526,20.823356201814022,197.89835789708013,22.38085808670894,50.84435656012647,42.60835644516271,20.549356394165443,21.66285672742015,22.76135571697887,47.20435737430398,20.556356277247687,21.252857198523998,20.564357737861428,211.60836405482405,20.617857043554977,48.98235697124437,59.20035748560531,21.091356308957074,22.374357597437665,21.664855697618805,22.947357592288427,0.21954831,0.29050565,0.063780025
