,Node_0,Node_1,Node_2,Node_3,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.099,0.001,0.003,36.144,0.19204131,0.26491594,0.050874803
Pareto solution 1,4.580375305867165,4.531375631630908,4.532375178013638,22.602875998426498,0.19204125,0.26491588,0.050874777
