,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,7.691,4.701,5.536,7.889,229.965,20.685,787.4,4.871,3.611,65.193,5.632,12.413,7.847,38.941,4.354,0.008,0.047,3090.071,0.0,0.0,2571.495,0.0,3080.347,10.553,0.14378595,0.28692102,0.041255213
Pareto solution 1,-94.12845253721343,-97.86595862784293,-96.8221814114695,-93.88092414174798,183.71406038613895,-77.88594030774016,880.5078550060643,-97.65343931418852,-99.22844316287274,-22.250927632811226,-96.70218968233553,-88.2259220603903,-93.93346642519464,-55.06593382511528,-98.29968862155306,-103.73218670740948,-103.68346346624799,3758.8466825217147,-103.74217138925633,-103.74217138925633,3110.626777998761,-103.74217138925633,3746.6914949240454,-90.55092705938296,0.14378597,0.28692102,0.041255217
