,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,147.776,5.823,2.812,82.935,6.589,125.764,1.123,2.391,1.757,6.594,15.026,76.064,124.584,7.424,1.171,126.15,30.734,13.085,1.997,1.419,26.163,50.445,21.694,18.037,16.607,67.479,18.64,1.594,43.258,16.282,1.163,3.474,16.693,3.386,1.039,4.581,7.607,4.104,7.499,2.115,5.667,6.196,0.651,0.376,460.889,1.089,466.252,55.006,79.937,54.944,45.313,43.113,2.768,0.328,6.001,0.483,0.251,0.007,0.131,2.035,23.72,24.141,0.693,0.251,0.006,0.157,0.249,0.442,0.62,1.232,0.706,3.883,6.642,49.42,5.89,1.15,10.318,8.058,2.326,1.796,1.254,0.227,0.18608418,0.2748438,0.051144086
Pareto solution 1,118.41644623769241,11.951689995131346,9.693439861187386,69.78569159824337,12.526191610968311,101.90743765861919,8.426689692594493,9.377692040500051,8.902191430478837,12.529940628009484,18.85394067127409,64.63244435825163,101.0224418085503,13.152441278963693,8.462690237778446,102.19694546164192,30.634940166622318,17.398190953563386,9.08219161870656,8.648690939818835,27.20669072127862,45.418190647938445,23.85494091007331,21.112191510132504,20.039691093523444,58.19368833010358,21.5644403758497,8.77994037215376,40.02793988931046,19.795940697648845,8.456690569863127,10.18994100070691,20.104191471134072,10.123940706117452,8.363691205723171,11.02018981055707,13.289691789042848,10.662440930873117,13.208691478767747,9.170690808961353,11.834690267535422,12.231441782087245,8.072690957814842,7.866440883120134,353.25118445646876,8.401190962971498,357.27345566511076,48.83894058769087,67.53718817549543,48.792441328569566,41.5691905141301,39.919189916572435,9.660440277824222,7.830439492038835,12.085189514408853,7.946690882448593,7.7726903621361885,7.589690339950806,7.682691677851238,9.110691028184561,25.37444034199077,25.690191334793155,8.10419217501098,7.7726903621361885,7.5889400290041635,7.702190739558915,7.771190868106032,7.915940822096445,8.049441751202863,8.508441159713584,8.113939732104342,10.496690447384395,12.565940045330308,44.649439139134756,12.001939681122735,8.446941039009289,15.322939431975897,13.627940479155995,9.328941284607254,8.931440023040352,8.52494151532673,7.7546905124928855,0.18608415,0.2748437,0.051144056
Pareto solution 2,206.49513189846948,-6.434382842378909,-10.950883674198394,109.23362036384515,-5.285379046773414,173.47711022887052,-13.484384575315744,-11.5823787516415,-12.533379407752363,-5.2778810126910685,7.370118227940793,98.92712588386166,171.70712304018525,-4.032880274714216,-13.412381793153145,174.05612809064223,30.932117518225894,4.458618510553606,-12.173379031296918,-13.040380953003933,24.075618609915637,60.49861846323529,17.37211898750502,11.886620187623407,9.74161963637107,86.049613263634,12.791117919057797,-12.777882088334081,49.71811694597932,9.254118844621871,-13.424382256846911,-9.957881395159347,9.870620109626543,-10.089881984338263,-13.61038042119526,-8.297382647595896,-3.7583786906243404,-9.012880970895367,-3.9203804390376717,-11.996381214718895,-6.668382861502323,-5.874879268467112,-14.192380353080353,-14.604880502469769,676.1646060802959,-13.535382034561735,684.2091394746749,67.3401189066717,104.73661351834926,67.24711982449753,52.80061875955016,49.50061756443483,-11.016881713061593,-14.676883284632368,-6.1673838038238955,-14.444381067744416,-14.792380980506096,-15.158381588808425,-14.97237891300756,-12.116381340204043,20.41111799232283,21.04261983694471,-14.129377918688078,-14.792380980506096,-15.159883902496404,-14.933381917455335,-14.795381096429537,-14.505881188448711,-14.23887989416744,-13.320880513214433,-14.109883932364482,-9.344382501804375,-5.205882741980986,58.96111544562791,-6.333883470396131,-13.443880754623024,0.30811603131019183,-3.0818818743296106,-11.679880263427094,-12.474883914424026,-13.287879238056576,-14.828382371587395,0.18608412,0.27484375,0.05114406
