,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,3.119,21.779,76.719,169.64,2.041,15.418,313.29,15.421,2.876,16.434,4.934,1.143,33.963,0.728,19.529,3.16,742.164,379.908,713.138,130.369,0.15354194,0.26115096,0.040097624
Pareto solution 1,-61.96581776997573,-33.97583601577571,48.43417270685677,187.81567534232727,-63.58282694777154,-43.517327617109004,403.2906858435181,-43.51283381361645,-62.330322572553996,-41.99332817035338,-59.243306263555496,-64.92980787416036,-15.699830575597844,-65.55233967252752,-37.35082912069447,-61.904304667568795,1046.6016982129513,503.2176739273982,1003.0626896590293,128.90917981542003,0.15354192,0.26115096,0.04009762
Pareto solution 2,35.66141637135979,49.65640891530086,90.86141160977604,160.5521629275113,34.85291178246189,44.885661447793154,268.28966651126564,44.88791001638049,35.479165636911716,45.64766117117097,37.02267045772885,34.179421319267476,58.79441080196926,33.86815708692495,47.96891236284148,35.6921712557222,589.9451810301875,318.25316222004676,568.1756700858623,131.09891516405767,0.15354192,0.26115096,0.04009762
Pareto solution 3,3.1190049909146182,21.778993938275335,76.71899864213628,169.64000039911662,2.0409988723840797,15.417998426159102,313.2900062886831,15.420995406381508,2.8760029004231455,16.433998057329518,4.934011550634068,1.143011588124864,33.962997009446894,0.727991500440794,19.528998534996163,3.1600126146252023,742.1640200911088,379.9079994558306,713.1380099435846,130.36900338117846,0.15354192,0.26115096,0.04009762
