,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,2.975,3.465,10.186,1165.732,1145.511,113.743,6.532,1116.188,0.1298224,0.2566095,0.03331366
Pareto solution 1,224.25825724767128,224.50324626576003,227.86375448321087,805.6367891986556,795.5262393220182,279.642239087947,226.03676174060092,780.8647600292607,0.12982239,0.25660944,0.03331365
