,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,1.248,1.387,1.994,0.34,7.937,2.759,74.24,80.378,0.747,8.665,58.472,1.634,1.19,17.02,2.759,49.381,40.348,0.722,86.653,1.893,22.543,45.296,0.144,89.884,0.397,1034.966,96.217,1042.09,0.23,1.226,98.736,2.475,26.215,105.822,3.475,1.92,102.469,0.318,42.5,1074.16,1.363,18.01,89.19,80.518,1073.041,1.389,0.407,3.153,0.883,33.255,0.19,1.966,0.22126898,0.39377138,0.08712939
Pareto solution 1,27.54280469807304,27.647054696468672,28.102302919494264,26.861793511097176,32.55954545257953,28.676049007847382,82.2867985475294,86.89029840447739,27.167051563828295,33.10554726598514,70.46079954971128,27.83230373087349,27.499301403194863,39.37180052434326,28.676049007847382,63.642551335741246,56.86780075497262,27.148300090377575,91.59654945957155,28.026548654962426,43.51404795005476,60.57880134956548,26.714795794322754,94.01980244566585,26.904555641016827,802.8312717344061,98.76955190600825,808.1742969797588,26.77930596879628,27.526301424996518,100.65880036477691,28.463052610307727,46.2680439974489,105.97329902656115,29.213047725798447,28.046799958058386,103.45855131729692,26.845297443791083,58.48180017100151,832.2268045633482,27.629047476163805,40.1142995797951,93.49930172513795,86.99529857504459,831.3875834808086,27.648547320343482,26.912044495285272,28.971551476811896,27.26905336184973,51.54805375099443,26.749299081933714,28.081303245669346,0.22126886,0.39377132,0.08712933
Pareto solution 2,53.837601865315264,53.907102550509535,54.21060136585993,53.383597152386756,57.18209638791677,54.59310013062304,90.33359896591458,93.40259938524446,53.58710046208262,57.546098969381546,82.44959980560179,54.030601220515564,53.80860172752136,61.72360114162029,54.59310013062304,77.90410099628843,73.38760026597743,53.57459947978214,96.5400999170746,54.160099209102555,64.48509942542796,75.86160066237267,53.28559867453714,98.15560173623817,53.412103180208305,570.6965867521758,101.32210137646643,574.2585926021893,53.32860271246409,53.82659968326425,102.58160030608738,54.45110115973557,66.32109679035739,106.12459945683503,54.95109927592375,54.173600764097046,104.44810098399222,53.37259908791884,74.46360090605913,590.293614128248,53.89509979576451,62.21860051192152,97.80860117010326,93.47259932738996,589.7341169362226,53.90809900562044,53.41709780851215,54.790101776599386,53.65510234702742,69.84110329272107,53.30859949375008,54.196601583309985,0.22126883,0.39377138,0.08712933
