,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.0,0.012,0.016,0.086,0.112,0.956,0.191,2.927,0.045,0.0,0.0,3.295,1.525,0.931,0.15350802,0.24981858,0.038349155
Pareto solution 1,0.36057141549534677,0.36657142163325673,0.36857141295719487,0.4035714380396378,0.41657139772828344,0.8385714005466767,0.45607141133111107,1.8240714115494256,0.38307143851250913,0.36057141549534677,0.36057141549534677,2.0080715140024097,1.1230714128130792,0.8260714145644439,0.153508,0.24981856,0.038349148
