,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,49.041,0.092,0.001,0.111,0.354,14.624,14.455,0.146,1.122,3.576,1.328,0.526,0.246,3.262,116.767,93.25,0.19650841,0.26320195,0.051721398
Pareto solution 1,56.630922145646025,-4.555328716276335,-4.669079680866389,-4.531577139350929,-4.227829205982744,13.609671139391118,13.398421718287025,-4.48782917552785,-3.2678286965785333,-0.20032870484163823,-3.010328796949807,-4.0128271048303645,-4.362828287479715,-0.5928278163558787,141.28842030341661,111.89216690132457,0.19650841,0.26320192,0.05172139
