,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,204.273,1.808,3.532,1.274,102.417,6.455,0.16236492,0.2861473,0.046460282
Pareto solution 1,128.78307882885156,27.550580120797804,28.412581744588806,27.28357977680298,77.8550824219094,29.87408147203473,0.16236487,0.28614724,0.04646026
