,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,5.214,2.509,6.171,2.246,4.666,4.654,0.16119097,0.24442594,0.039399255
Pareto solution 1,5.699333582254212,1.6418333725072216,7.134833352408577,1.2473333204497976,4.877333143304071,4.859333014314018,0.16119097,0.24442594,0.039399255
