,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.21,7.51,12.274,43.221,9.231,164.239,11.765,1.139,177.565,0.498,9.56,1502.594,0.6,0.157,8.375,1.914,1460.506,18.251,0.997,1451.064,203.551,1.187,13.466,18.402,9.438,69.066,278.279,50.862,1025.353,12.415,227.283,12.218,21.427,1003.801,0.111,5.085,702.364,5.071,9.9,0.892,71.487,4.656,13.402,17.638,5.451,574.706,11.706,13.818,0.653,0.0,0.411,0.167,48.309,0.788,5.714,400.604,0.0,10.291,10.217,0.003,1.135,6.082,5.46,0.256,0.735,38.479,0.802,4.79,22.729,7.508,14.359,0.566,0.063,12.865,13.038,3.713,11.402,17.846,9.528,0.004,0.0,26.575,0.224,15.538,5.975,0.141,63.708,0.0,1.726,12.006,0.0,0.114,360.622,5.308,103.011,31.965,37.092,56.561,16.823,46.347,1.854,86.562,0.097,3.19,24.111,0.013,433.781,259.906,0.659,85.606,287.37,0.155,5.55,165.798,0.713,358.629,0.05,4.892,1.148,29.111,5.896,1180.007,0.433,1.801,9.119,0.979,0.19590364,0.32857582,0.0643692
Pareto solution 1,-26.80968851245916,-17.684695000850525,-11.7296946384497,26.954058321007892,-15.533445722464648,178.22655558879467,-12.365934339997239,-25.64845147116762,194.8840622601831,-26.44968590872554,-15.122198162600398,1851.1702725220348,-26.32219770090387,-26.875953394516955,-16.603448443890784,-24.679687090575953,1798.560289106288,-4.258443815840337,-25.825944820555378,1786.757818781236,227.36654867331526,-25.588442308632466,-10.239694045228362,-4.069692736445404,-15.2746814595655,59.26031257543002,320.776544301641,36.505304889531544,1254.6191471454695,-11.553442172432142,257.0315629013596,-11.799693927480348,-0.2884368051372803,1227.6790967663019,-26.93344124450232,-20.715942212229493,850.882802885033,-20.733455661759308,-14.697184385847095,-25.95719415549138,62.28655403550465,-21.25219728198067,-10.319690942394118,-5.024691968953675,-20.258436743439916,691.3103445700008,-12.439694756142217,-9.799695613134645,-26.255946713319645,-27.072187182331163,-26.558446503788673,-26.86344195547167,33.314051058153154,-26.08718978138927,-19.929699911651596,473.682816831104,-27.072187182331163,-14.208440934059354,-14.30094178863078,-27.06843888088474,-25.653439587178582,-19.469699850453708,-20.24719290790631,-26.752199593668138,-26.153440768973496,21.026562069035208,-26.069689157527364,-21.084694059088406,1.339062429708747,-17.687189593258836,-9.123440896516513,-26.364693413909208,-26.993437581369562,-10.990943648527718,-10.77469540594143,-22.43094777280203,-12.819691507340394,-4.764687891489984,-15.162186457529515,-27.06719799751454,-27.072187182331163,6.146550284286377,-26.792201783070823,-7.649686149313311,-19.60344377779802,-26.895947541981513,52.56280597442401,-27.072187182331163,-24.914695010090554,-12.06470108423423,-27.072187182331163,-26.929706837529466,423.7053209921928,-20.437197696339354,101.69155896423081,12.884044645818676,19.292802175562656,43.62905866902145,-6.043442252609566,30.86155516393353,-24.7547022845647,81.13030321696033,-26.950941868364225,-23.084687029405814,3.06655164037943,-27.055941336313026,515.1541009883185,297.8103048125172,-26.248437284758893,79.93531088814206,332.1403126558639,-26.8784340924517,-20.134696837064666,180.17530894700974,-26.180945413804466,421.2140632575379,-27.0096834273877,-20.957193025598826,-25.637193741160445,9.316556259162098,-19.702201420697747,1447.9365063338373,-26.530942927763363,-24.82093937767536,-15.673431474858035,-25.848446386096157,0.19590363,0.32857585,0.0643692
Pareto solution 2,27.229694215638574,32.70469288773734,36.27769310517783,59.4879435982856,33.99544245476886,150.2514428140022,35.89594671911573,27.92643900554708,160.24594553426846,27.445696632923273,34.242190135642886,1154.0176862271364,27.522192122749857,27.18993785153748,33.35344082191318,28.5076950687685,1122.451682496976,40.76044359874345,27.819942140869898,1115.3701866212323,179.73543823719228,27.962442792979118,37.171693461110635,40.87369424638041,34.1506993024193,78.87169615093887,235.7814373242768,65.21869196692205,796.0869836397724,36.38344287469931,197.53444591897437,36.23569438680397,43.14244695012076,779.9229739333405,27.155444286501734,30.88594370586543,553.8451907642229,30.875437346236595,34.49719754665034,27.741192539908297,80.68744145450592,30.56419151905925,37.123694467766654,40.30069470687545,31.16044613209465,458.1017123550255,35.85169388960685,37.43569166532234,27.561941005211338,27.072195013715373,27.380442841018976,27.197443004875595,63.303940523139545,27.663194309325036,31.357689941256695,327.5251991318655,27.072195013715373,34.790443617722985,34.734944815069184,27.074444849627753,27.923445280895976,31.633690833019955,31.16719243341481,27.264190987091297,27.623445426863555,55.93144627462425,27.673696393731234,30.66469345279461,44.1189473460729,32.703194422203296,37.84144449529322,27.496694694946655,27.119444774292333,36.720942844086494,36.850692644682795,29.856940369521908,35.62369412879889,40.45669544326461,34.21819544859636,27.075191944783455,27.072195013715373,47.00344005881948,27.24018881840516,38.72569734361514,31.553442766524313,27.177940508014217,74.85319261785753,27.072195013715373,28.36669288219332,36.076689237707114,27.072195013715373,27.1576866407745,297.53869991842976,31.053190415399513,104.33044441174161,51.04593667573886,54.89118948349619,69.49294466213826,39.689443681637385,61.83244255908551,28.462687662464305,91.99369096337932,27.144942202095535,29.464695105470582,45.15544087247531,27.081942521326255,352.40796962619424,222.0016936308025,27.566444952258735,91.27669577984949,242.59969491663242,27.18844686764305,31.234691786008852,151.42069482893123,27.60694092987592,296.0439452776368,27.10969726668145,30.74119321784383,27.933192788506858,48.905442788700384,31.494188180784477,912.0773991527931,27.396944131589635,28.422946261642437,33.91144929324378,27.806442056589958,0.19590361,0.32857588,0.0643692
Pareto solution 3,54.24938557968744,57.89938683203127,60.2813869769916,75.75488623692445,58.75988654338562,136.26388642660595,60.02688724867221,54.71388424390443,142.92688717131114,54.39338790374768,58.92438428476453,805.4413930796873,54.44438703457672,54.222883474564696,58.331885454815165,55.101386148440724,784.3973791923199,63.26988730603534,54.642885621582536,779.6763705412304,155.9198830191308,54.73788534378491,60.877387214280134,63.34538773779332,58.8633896834117,88.6773879386933,193.28388383559468,79.5753855056173,566.8209018869238,60.35188539826504,167.78588742778174,60.25338854394613,64.85788882774978,556.0449125168598,54.19988705200376,56.68688666491289,405.3263847038179,56.679883850234546,59.09438851289906,54.590385887608136,89.88788516400655,56.47238591957921,60.84538717284704,62.96338804479001,56.86988756986193,341.49739624753784,59.99738821248138,61.05338530455083,54.47088486447683,54.14438611173864,54.3498875134228,54.22788548504923,78.29888525563274,54.53838635468219,57.00138486771084,254.44639028224628,54.14438611173864,59.289885893614155,59.252888116919166,54.145886714884,54.711887714933255,57.185386174756786,56.87438510407537,54.272386277471014,54.51188852478208,73.38388837741877,54.54538916936053,56.539387208736116,65.50888980425498,57.89838642993436,61.32388719119808,54.427388749374586,54.17588595212328,60.5768860903936,60.66338666999491,56.000884440683876,59.84538694686853,63.0673871106419,58.9083864016593,54.14638691593245,54.14438611173864,67.43188494608603,54.25638411914315,61.91338909007936,57.13188603868548,54.21488453301208,85.99838593957429,54.14438611173864,55.00738682833526,60.14738439867779,54.14438611173864,54.20138337992648,234.45538938154823,56.798384471268946,105.64988713549701,70.12688269069895,72.69038313746296,82.42488765869666,62.55588664876086,77.3178862566615,55.07138263597881,97.42538483658882,54.192884237325416,55.73938617290878,66.19988548852325,54.150884450145895,271.0349039451321,184.09738803994514,54.47388607076755,96.94738822570321,197.82938604701667,54.221887347690426,56.91938609754561,137.04338776989198,54.50088410171611,233.45888628768625,54.169387613716026,56.59038633956516,54.71838605334051,68.69988605346953,57.09238298152559,644.147845562271,54.36088766126613,55.044889081301335,58.70388967729468,54.633886277933016,0.19590363,0.32857585,0.0643692
