,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,985.256,891.136,481.805,50.532,340.328,50.381,68.686,318.382,232.673,39.566,36.96,163.131,42.921,39.606,0.13582458,0.26943323,0.036595654
Pareto solution 1,626.2480955387,579.1881143296778,374.5226151705865,158.88612042088062,303.78411784669515,158.8106195350847,167.96311819265247,292.81111114889063,249.95661957330958,153.40312168847595,152.10011576343823,215.1856160160205,155.08062222220906,153.4231141916971,0.13582459,0.26943314,0.036595646
Pareto solution 2,985.2559567024,891.1360125256906,481.8049868455055,50.53200646676123,340.3279990382234,50.38101381583692,68.68600201030495,318.38198792278126,232.67300477161916,39.56599988128437,36.95999259154269,163.1309999372079,42.92101462975188,39.60598488772666,0.13582458,0.2694332,0.03659565
Pareto solution 3,1164.75988728425,1047.109961623697,535.446172682965,-3.6450505102984607,358.59993963398756,-3.8337890437869646,19.047443919131183,331.1674263097266,224.03119737077395,-17.35256102231142,-20.610068994405083,137.10369189780158,-13.158789166476708,-17.302579764258553,0.13582458,0.2694332,0.03659565
