,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,96.274,8.694,73.372,7.428,5.14,41.808,4.131,66.354,60.341,7.054,7.855,5.838,16.904,4.053,4.928,62.615,3.284,934.058,41.153,13.34,10.793,10.325,22.735,15.982,1375.978,9.514,971.727,1395.535,93.517,945.711,18.066,11435.314,11376.035,11199.637,12902.212,11474.119,11120.506,11168.365,0.13910617,0.31837848,0.04428841
Pareto solution 1,1193.0144957460216,1149.224672535056,1181.563560738723,1148.5915150198562,1147.447466702317,1165.781557500115,1146.9431493791635,1178.0545060796285,1175.048059639099,1148.404565271805,1148.805021623819,1147.7965184470959,1153.3295473475737,1146.9041029127984,1147.3415022178378,1176.1850085991173,1146.5195543804148,1611.9065645458977,1165.4540667670663,1151.5476086098206,1150.2740627523162,1150.040046893293,1156.245148305752,1152.8684835174645,1832.8665736185285,1149.634463227514,1630.7410943141294,1842.6450840513135,1191.6361028954998,1617.7330335572406,1153.9105114380363,6862.534920838487,6832.895366127777,6744.69610355777,7595.983745040663,6881.937202004017,6705.130595276132,6729.060163026676,0.13910615,0.31837833,0.044288386
