,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,15.546,106.925,29.338,222.997,0.775,29.506,51.478,118.485,0.13676818,0.24633396,0.033690646
Pareto solution 1,29.62981080236898,98.16406511502845,39.973811166074256,185.21806127734362,18.55156567649101,40.09981291448622,56.57881360811129,106.83406299484642,0.13676812,0.24633396,0.03369063
Pareto solution 2,43.71362404865931,89.40312589020618,50.60962360208987,147.43912367626945,36.32812660903437,50.69362511221766,61.67962505785465,95.18312516579113,0.13676813,0.24633394,0.03369063
