,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,23.224,3673.149,3692.399,3429.425,34.288,32.148,74.079,26.023,480.837,1489.484,0.1435444,0.24917832,0.035768155
Pareto solution 1,659.3648735592651,2484.3272683847317,2493.9522969790705,2362.4654161949147,664.8968642553009,663.8268509586487,684.792367065631,660.7643588448555,888.1713996838516,1392.4948714228722,0.14354438,0.24917832,0.035768148
