,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,29.951,163.416,48.07,293.152,24.54,46.739,1063.917,37.244,0.18910377,0.25766152,0.048724763
Pareto solution 1,-61.76279308130324,138.43469225251647,-34.58431557850781,333.038706887397,-69.8793287321896,-36.58078813497559,1489.1862294667808,-50.82330364876907,0.18910377,0.25766152,0.048724763
Pareto solution 2,75.80791162585228,175.90665367229565,89.39714913631701,273.2086609897359,71.7496438004091,88.39891161715013,851.2824228998943,81.27765634211937,0.18910374,0.25766155,0.048724763
