,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,1.028,1.734,2.542,10.012,55.64,3.108,2.36,6.829,3.355,0.703,28.292,12.279,6.441,11.577,0.899,10.969,2.678,1.766,2.012,1.821,3.858,2.917,1.091,2.004,1.237,3.704,0.693,458.9,0.149,0.529,468.993,3.406,0.46,0.448,29.816,1.511,0.587,1.535,0.16204153,0.29833534,0.048342716
Pareto solution 1,-13.561721986844987,-12.502729322542564,-11.29072190916213,-0.0857254707877928,68.35627588717762,-10.441725586312259,-11.563721441065354,-4.860224857262892,-10.071225784033913,-14.049226401588385,27.334275291149538,3.3147775506026846,-5.442224869078927,2.261775855698488,-13.755227848113464,1.349776342397945,-11.086728788578966,-12.4547219327942,-12.085725998600992,-12.372226651724759,-9.31672812112447,-10.728226239436026,-13.46722332690456,-12.097726314604188,-13.248225217015715,-9.547723484148719,-14.064225265158484,673.2462993458248,-14.880225313301253,-14.310225617488413,688.3857853019217,-9.994724535230489,-14.413726045865133,-14.431723457002136,29.620275476692534,-12.837225113943532,-14.22322485789914,-12.801224165933945,0.1620415,0.2983353,0.0483427
Pareto solution 2,1.0280014066478884,1.733997026660802,2.5420014584364594,10.011999466877825,55.639999989329624,3.107999517481005,2.360002025739959,6.828999875894425,3.3549991304275864,0.702998973963588,28.291999831264118,12.279001353518652,6.440999612778086,11.57700009596303,0.8989980096135355,10.969000548048825,2.6779973826365335,1.7660016979207285,2.011998987382867,1.8209985519670226,3.857997827606198,2.9169990820651606,1.0910007685138225,2.00399877671407,1.236999253200736,3.7040006636843827,0.6929994763445393,458.900011799843,0.14899969948834269,0.5289989862189373,468.9930065210647,3.40599970772422,0.4599987006344577,0.44800068178210495,29.81599997290594,1.5109995771545073,0.5869997478507685,1.5350002091608985,0.1620415,0.2983353,0.0483427
