,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,2.304,0.0,1.895,0.0,0.491,3.849,0.14579588,0.26246196,0.038265873
Pareto solution 1,1.8635832635226066,0.7115833229486412,1.6590832989082465,0.7115833229486412,0.9570832978934689,2.636083268792433,0.14579585,0.26246196,0.038265865
Pareto solution 2,2.083791568507939,0.3557916471971616,1.7770416268113136,0.3557916471971616,0.7240416200642326,3.242541607762167,0.14579585,0.26246196,0.038265865
Pareto solution 3,2.3039998734932716,-2.8554318021178915e-08,1.8949999547143808,-2.8554318021178915e-08,0.4909999422349962,3.848999946731901,0.14579587,0.26246193,0.038265865
