,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,66.026,125.799,4.745,8.131,18.776,19.206,7.843,14.687,7.973,12.394,37.025,50.861,25.339,142.927,2465.573,16.83,9.601,9569.727,10.365,54.224,2237.346,26.978,45.183,7.189,9.24,3.668,12.781,8.454,15.087,18.146,27.621,13.985,6.649,151.95,491.707,8.706,7.448,5.565,1622.33,9.799,55.691,1535.523,1290.574,44.418,30.821,11.606,9.07,52.059,8.108,8.246,8.423,119.657,206.193,10.161,104.35,8.078,6.966,62.98,13.8,13.029,1.58,4.377,1.026,100.067,2.911,16.689,12.351,5.747,13.343,14.423,28.742,451.516,364.239,151.224,1.983,126.698,5.26,2.864,9.799,21.454,92.751,1.139,3.606,11.291,0.879,7.721,6.8,76.011,91.814,65.716,362.166,15.45,97.733,23.279,58.561,73.26,21.793,18.44,23.514,70.594,2.798,12.908,1.866,68.3,2.216,80.387,10.449,3.769,32.483,3.427,0.20887408,0.32476547,0.067835085
Pareto solution 1,28.725559756458097,103.44182059507148,-47.875705487464074,-43.64319398693624,-30.336937641332042,-29.799434515220128,-44.003196809359,-35.448206802981076,-43.840683112796796,-38.314443233981365,-7.525671191033325,9.769337950895533,-22.133182918772036,124.85182288426722,3028.159282481065,-32.769429564835264,-41.805696051454106,11908.351646568452,-40.850673738093064,13.973069409366872,2742.8755772236473,-20.08442610378006,2.671805051208139,-44.82067642536731,-42.25692827360035,-49.22194437225971,-37.830667467855164,-43.23944637497334,-34.94818021368974,-31.124420361806187,-19.280670700497467,-36.32567838842078,-45.49567852954533,136.13056087999348,560.8268036787194,-42.92444891485502,-44.4969351079244,-46.85068313130887,1974.1055420905686,-41.558173845327474,15.806802021288604,1865.5966189608007,1559.410431307042,1.7155658843694255,-15.280694798969307,-39.29943876159632,-42.46942950950506,11.266821886126309,-43.67195034771248,-43.499430399424455,-43.278185306195155,95.76431310395492,203.93430644900928,-41.10567922877999,76.63056731342294,-43.70942870617,-45.099434240149094,24.91807076574605,-36.55692973337591,-37.520672222781286,-51.83191473980878,-48.33568338857185,-52.52442823991623,71.27681277179363,-50.16819914701591,-32.94569115540344,-38.36819427524733,-46.623197109914145,-37.12819325694545,-35.778190870226354,-17.879442061314876,510.5880496720001,401.49182714865674,135.223064163647,-51.328193870797804,104.5655638328767,-47.23194081357815,-50.22693054368301,-41.558173845327474,-26.989448411371086,62.13180731115881,-52.38316575992667,-49.29942587797723,-39.69320380311365,-52.70819315305107,-44.15568239455206,-45.30693143937242,41.20680948220706,60.96056762253011,28.338061146023392,398.9005485977759,-34.49444688402127,68.35931547722794,-24.708176035385804,19.39431013480953,37.76805624142071,-26.565688295956534,-30.756934254823136,-24.414455294757317,34.43556637004531,-50.30943794572522,-37.67191727321642,-51.474434884551556,31.568078474465437,-51.03692687513103,46.67682089351456,-40.74567458472029,-49.09567032103405,-13.203179801564147,-49.52319393837206,0.20887402,0.3247654,0.067835055
