,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,320.712,3.009,114.962,0.12,0.121,0.0,0.197,3.216,120.878,119.349,0.209,1.816,0.0,82.028,0.085,10.265,0.473,82.963,50.375,13.705,0.387,175.439,3.124,1.881,0.029,2.129,2.875,0.009,0.388,0.108,840.18,0.886,2.464,11.046,1.767,0.082,28.675,0.0,2.288,0.606,6.652,0.031,0.003,0.0,0.18555743,0.28875738,0.053581078
Pareto solution 1,183.14613897844174,24.294636758984325,80.27113831872066,22.850137276295754,22.85063796585837,22.790137304072687,22.888637880969327,24.398138174778524,83.22913553608123,82.46463910343664,22.894638080082586,23.698139844782418,22.790137304072687,63.80413897686185,22.83263736851859,27.922637367503285,23.02663842275524,64.27163766685726,47.97763817761131,29.642638253655832,22.98363968765625,110.50963436391612,24.352139340122903,23.730638231433204,22.80463711229322,23.854639654561197,24.227639246341823,22.79463745340763,22.984138358309337,22.84413909609202,442.8801578377461,23.233138545871498,24.022138483441267,28.313136867061075,23.673638358766766,22.8311393376498,37.12763781684782,22.790137304072687,23.93413825499283,23.093137264744655,26.116139331044906,22.805636472508922,22.791637353851,22.790137304072687,0.18555745,0.2887573,0.05358107
Pareto solution 2,458.2778801080858,-18.276644720472177,149.6528660154654,-22.61013711180931,-22.608635043121467,-22.79014308520709,-22.494639335607644,-17.966136435270528,158.52685362972807,156.2333643317943,-22.476638738267866,-20.066133444168372,-22.79014308520709,100.2518619331604,-22.66264491077891,-7.3926388570962445,-22.080637710249903,101.65435800314663,52.77236155431831,-2.232637208093365,-22.209633915546874,240.36835011323274,-18.104132939237388,-19.968636265306486,-22.746639622726434,-19.596631995922507,-18.477635239490155,-22.77664061829273,-22.20813992249714,-22.628137709149087,1237.4798559296178,-21.461135321991605,-19.094137528191823,-6.221142377332399,-20.139637902215327,-22.66713496556622,20.222360976755226,-22.79014308520709,-19.35813821353713,-21.88114118428166,-12.812134985380908,-22.743643560988858,-22.785636879143567,-22.79014308520709,0.18555744,0.28875732,0.05358107
