,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,Node_130,Node_131,Node_132,Node_133,Node_134,Node_135,Node_136,Node_137,Node_138,Node_139,Node_140,Node_141,Node_142,Node_143,Node_144,Node_145,Node_146,Node_147,Node_148,Node_149,Node_150,Node_151,Node_152,Node_153,Node_154,Node_155,Node_156,Node_157,Node_158,Node_159,Node_160,Node_161,Node_162,Node_163,Node_164,Node_165,Node_166,Node_167,Node_168,Node_169,Node_170,Node_171,Node_172,Node_173,Node_174,Node_175,Node_176,Node_177,Node_178,Node_179,Node_180,Node_181,Node_182,Node_183,Node_184,Node_185,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,418.495,6.884,28.486,70.936,87.726,6.862,10.78,3261.727,6.598,667.207,137.8,6.182,425.967,110.301,6.843,129.397,381.885,6.882,11.109,40.691,330.699,9.446,8.368,29.722,304.918,7.901,240.096,8.118,52.072,13.412,21.401,34.284,28.417,27.601,35.861,139.371,7.509,4175.209,10.498,18800.088,55.62,16254.386,15.503,11784.072,11708.916,11790.711,5.005,11631.855,1243.308,11656.778,16073.745,16022.833,1161.081,17.487,20.916,107.808,15.415,1114.336,14.41,3987.479,3891.639,5.626,37.26,16.906,22.566,3858.324,18.559,7.739,36.944,1040.743,998.125,14.61,15.72,37.441,3807.479,14.626,182.735,12.845,15.366,3563.76,147.157,19.494,13.396,946.406,3547.212,65.792,105.44,37.606,619.881,8.74,13.488,14.147,5.757,13.372,11.391,92.411,9.598,36.355,116.546,10.136,9.418,3283.237,8.668,10.965,9.245,10.184,231.484,3254.49,30.099,8.186,3019.808,9.786,15.577,56.438,9.035,10.888,102.692,11.131,136.352,2955.066,300.772,11.042,2928.001,2909.292,183.402,12.18,244.638,10.623,11.152,80.695,284.535,185.763,8.515,5.843,7.875,5.718,5.862,6.279,48.47,5.118,259.898,4.43,102.437,5.248,1688.115,42.756,2.271,1.725,2.172,7.745,2.137,9.663,12.56,2.183,22.255,1.686,1643.852,2.602,30.325,14963.124,1.738,2.444,4.129,2.43,1646.877,2.393,14930.258,3.263,14898.691,1.863,1.891,14840.943,14828.685,1647.167,14823.812,9.506,6.494,1.969,9.275,14815.152,3.341,65.481,14806.915,14798.521,2.036,53.563,0.18871668,0.37927204,0.07157496
Pareto solution 1,1095.4767200915667,889.6712475636668,900.4722242616335,921.6972806733174,930.0922047134518,889.6602712207459,891.6192931683399,2517.0927702411354,889.5282360259589,1219.8327505024135,955.129242916053,889.3202598539865,1099.2127609052986,941.3797780089299,889.650762644611,950.9277285833377,1077.1717537925288,889.6702265085114,891.783746864312,906.5747518459248,1051.5787510577939,890.9522888880529,890.4132993978783,901.090281710407,1038.6882488001793,890.1797330310728,1006.277214080983,890.2882839572849,912.2652836749985,892.9352418158524,896.9297372158035,903.3712551116987,900.4377636501376,900.0297244836474,904.1597011395352,955.9147534103176,889.9837542571768,2973.8337788235804,891.4782599249957,10286.273177471652,914.0392393756701,9013.42224701494,893.9808022950165,6778.26512213028,6740.687229244853,6781.584572440595,888.7317491887734,6702.156691899407,1507.883242607304,6714.618670071475,8923.102260603162,8897.645823995466,1466.769770752333,894.9727573785203,896.687236616388,940.1332611119869,893.9367692914384,1443.397275808904,893.4342825230706,2879.9686889121367,2832.0487198051633,889.0422137719725,904.8592515529017,894.6822671867994,897.5122491819784,2815.3912259994177,895.5087475191758,890.0987505940575,904.7012432675983,1406.6007772891462,1385.2917390909279,893.5342182964087,894.0892255893341,904.949742566052,2789.96873947564,893.5422591057577,977.5967320040581,892.6517075623779,893.9122001517608,2668.109252735776,959.8077176382503,895.97626314847,892.9272648224505,1359.4322409606248,2659.835196099666,919.1252427367799,938.9492200273671,905.0322565858005,1196.16973345929,890.5992590680617,892.9732761203923,893.3027578558613,889.1077527497619,892.915203608427,891.924716291709,932.4347605038056,891.0282298652382,904.4067326712029,944.5022284901934,891.2972140827478,890.9382493796656,2527.8477994571076,890.5632030578854,891.7117624758539,890.8517149552426,891.3212088789005,1001.9712330426773,2513.4742145862256,901.2787302025317,890.322234041203,2396.133279804839,891.1222307554854,894.0177517284537,914.4482357813686,890.7467377220746,891.6732176437363,937.5752626838366,891.7947232072329,954.4052509949033,2363.762193868599,1036.61525157086,891.7502434920243,2350.2297669979525,2340.875242559552,977.9302341442017,892.319290293337,1008.5482321945092,891.540799553266,891.8052528385233,926.5767118132935,1028.4967782140593,979.1107015357775,890.4867515531223,889.1507646981845,890.1667783937883,889.0882250699142,889.1602732743195,889.3687599738696,910.4642061967606,888.7882901180055,1016.178194475382,888.4442583465716,937.4477584213018,888.85325475227,1730.2867444436356,907.6072300559099,887.3647477834893,887.0917431613052,887.3152266084508,890.1017499435766,887.297741038914,891.0607121823705,892.5092703681948,887.3207147799112,897.3567297186164,887.0722792974047,1708.1552742371923,887.530286350564,901.3917482450488,8367.79171429656,887.0982523879211,887.4512183919651,888.2937803430395,887.4442624537187,1709.6677241516686,887.4256920130792,8351.357831569854,887.8607253252412,8335.574871504738,887.1607920161914,887.1747677086314,8306.700452764228,8300.571569193737,1709.8127458917138,8298.135331592872,890.9822185672965,889.476226028979,887.2137592523795,890.8667755187853,8293.805036678677,887.8997168689893,918.9697232734179,8289.687121236813,8285.489563492825,887.2472626246672,913.0107177544123,0.18871659,0.37927198,0.07157492
