,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.785,0.187,0.165,0.0,0.0,1.315,2.399,114.769,0.314,0.114,0.266,117.291,0.276,1.965,0.887,0.033,0.654,2.64,3.02,15.87,0.0,0.339,0.01,0.191,0.546,0.171,0.509,119.863,0.017,0.303,0.707,0.092,0.295,122.887,1.037,0.003,126.088,0.081,1.921,0.081,0.449,22.444,0.003,23.795,0.091,129.197,0.076,129.998,0.098,0.225,0.159,0.244,0.613,0.068,0.016,4.459,0.126,0.082,0.137,4.714,0.132,0.248,0.534,0.069,0.189,0.148,1.396,0.088,0.04,0.621,0.061,3.739,0.227,0.082,139.117,0.028,0.23650831,0.40980622,0.09692258
Pareto solution 1,0.7849991951604238,0.18699984965650174,0.16499932599043632,-5.218254273131606e-08,-5.218254273131606e-08,1.3149998170835602,2.3990001588417726,114.76898811376805,0.31400015855342644,0.11400113630281794,0.26600025673360506,117.2909983091813,0.27599966761408723,1.965000762221564,0.8869995551928582,0.032999311653270524,0.6540000317758086,2.64000051889343,3.019999457301026,15.869999900918799,-5.218254273131606e-08,0.33900010741791675,0.010000780361224315,0.19100012580747716,0.5460005370138674,0.17099988238322794,0.5090006126944218,119.86299191102944,0.017000481710624626,0.30299989672039374,0.706999639035871,0.09200061263675252,0.2950004817490708,122.88700392296823,1.036999817045114,0.0030007946791670292,126.08799367925303,0.08100035080371981,1.921000567887404,0.08100035080371981,0.4489998824216741,22.44400052879169,0.0030007946791670292,23.795000040090002,0.09099976168420199,129.19700068367592,0.07599950803285083,129.9979976236309,0.09799974736625927,0.22500034059584095,0.15900019126092957,0.2440011547308245,0.6129998313053875,0.06800009306152788,0.015999915090731065,4.4590002102656285,0.1260008274251163,0.08199978009298547,0.13699966759486415,4.714000257348744,0.13199996215462306,0.24800000921851506,0.534000845891569,0.06899952235079354,0.18899984556566096,0.14799992942789686,1.3960002200698227,0.0880003364857771,0.04000043466595571,0.6209992462767104,0.06100010737947059,3.739000829970337,0.22700033650500018,0.08199978009298547,139.11699859039572,0.028000743543657336,0.23650828,0.40980613,0.09692255
Pareto solution 2,4.213104068359854,3.7646045592319126,3.7481041664823636,3.6243546328526293,3.6243546328526293,4.6106045348022064,5.4236047200377016,89.70109625489772,3.859854719821442,3.709855310967157,3.823854793456576,91.59260333279235,3.8313543516169375,5.098105101489381,4.28960433838418,3.6491042268126535,4.114854766904557,5.604354990076445,5.889354264965306,15.526854526595471,3.6243546328526293,3.8786046103866454,3.6318551861772903,3.76760469526198,4.033855074749937,3.7526045837769573,4.00610491826086,93.52159910284377,3.637104820023012,3.8516045234466674,4.154604472349604,3.693354918217608,3.8456048200518467,95.78960697446723,4.402104534773372,3.626605125832583,98.19035042901146,3.6851047218428334,5.065105026821925,3.6851047218428334,3.961104583805792,20.457354961958558,3.626605125832583,21.470604666515456,3.692604280003195,100.52210568232863,3.6813543740973387,101.12285395596018,3.6978543403479023,3.793104927436417,3.7436047443520692,3.807355395871326,4.084104474385413,3.675354670702518,3.6363546083075846,6.968604829688758,3.718855150392045,3.685854364892947,3.72710435160252,7.15985479391793,3.7233545725223394,3.810354536737094,4.024855235325049,3.6761043137526315,3.7661044139974535,3.7353545479772947,4.671354623792411,3.6903547821875406,3.6543548558226746,4.090104177780233,3.6701046103578108,6.428605223384125,3.794604782201958,3.685854364892947,107.96210411236848,3.6453550163977866,0.23650832,0.409806,0.09692253
Pareto solution 3,7.6412089415592845,7.3422092688073235,7.331209006974291,7.248709317887801,7.248709317887801,7.906209252520853,8.44820928123363,64.6332043960274,7.405709281089457,7.305709485631496,7.381709330179547,65.8942083564034,7.386709035619788,8.231209440757198,7.692209121575502,7.265209141972036,7.575709502033305,8.56870946125946,8.758709072629586,15.183709152272144,7.248709317887801,7.418209113355374,7.253709591993356,7.344209264716483,7.521709612486006,7.334209285170687,7.503209223827298,67.18020629465809,7.2572091583353995,7.400209150172941,7.602209305663337,7.294709223798463,7.396209158354623,68.69221002596623,7.76720925250163,7.250209456985999,70.29270717876989,7.289209092881947,8.209209485756446,7.289209092881947,7.47320928518991,18.470709395125425,7.250209456985999,19.14620929294091,7.294208798322188,71.84721068098133,7.2867092401618265,72.24771028828945,7.297708933329545,7.361209514276993,7.328209297443209,7.370709637011828,7.555209117465438,7.282709248343508,7.256709301524438,9.478209449111887,7.311709473358974,7.289708949692908,7.317209035610176,9.605709330487116,7.314709182890056,7.372709064255673,7.515709624758529,7.283209105154469,7.343208982429246,7.322709166526693,7.9467090275149985,7.292709227889304,7.2687092769793935,7.559209109283756,7.279209113336151,9.118209616797913,7.362209227898916,7.289708949692908,76.80720963434123,7.262709289251916,0.23650832,0.409806,0.09692253
